Player,Serve Rating,% 1st Serve,% 1st Serve Points Won,% 2nd Serve Points Won,% Service Games Won,Aces Per Match,Avg Double Faults/Match,Surface
Thiemo de Bakker,267.7,59.80%,72.60%,50.00%,79.00%,8.1,1.8,All
Jacco Eltingh,267.5,62.10%,73.40%,48.50%,79.80%,7.6,3.9,All
Jan-Lennard Struff,267.5,56.00%,76.40%,49.40%,80.50%,8.9,3.7,All
Gregory Carraz,267.4,59.90%,75.80%,46.60%,80.80%,10.9,6.6,All
Horacio Zeballos,267.1,62.30%,70.80%,51.30%,79.40%,5.8,2.5,All
Ernesto Escobedo,267,55.20%,72.70%,54.40%,80.20%,7.8,3.3,All
Igor Andreev,266.9,62.40%,70.40%,52.30%,79.50%,4.9,2.6,All
Andrey Rublev,266.9,59.60%,73.80%,50.20%,80.20%,6.2,3.1,All
Jim Grabb,266.8,65.80%,72.30%,46.30%,79.50%,6.4,3.5,All
Guido Pella,266.7,65.10%,69.00%,52.00%,77.90%,5.1,2.4,All
Alex de Minaur,266.6,60.70%,71.20%,53.20%,80.20%,3.9,2.6,All
Tim Henman,266.4,57.70%,74.40%,50.70%,81.20%,6,3.6,All
Ivan Navarro,266.4,61.00%,72.90%,49.00%,79.80%,6.9,3.2,All
Janko Tipsarevic,266.4,56.40%,73.60%,51.90%,80.10%,6.9,2.5,All
Jamie Morgan,266.3,57.40%,75.40%,49.00%,79.60%,9,4.1,All
Lucas Pouille,266.2,56.30%,73.50%,51.50%,80.80%,7.8,3.7,All
Bryan Shelton,266.2,58.10%,74.90%,49.00%,80.90%,8.6,5.3,All
Antony Dupuis,266.1,59.20%,72.10%,51.10%,79.10%,7.3,2.7,All
Thomas Johansson,266.1,53.30%,76.10%,50.70%,80.60%,8.3,2.9,All
Kei Nishikori,266.1,61.30%,70.80%,53.20%,80.10%,3.3,2.6,All
Potito Starace,266.1,72.40%,65.50%,51.00%,76.10%,2.5,1.4,All
Pablo Cuevas,266,60.40%,71.70%,51.80%,79.00%,5.9,2.8,All
Dusan Lajovic,265.8,65.90%,68.10%,52.20%,77.60%,3.8,1.8,All
Tommy Robredo,265.8,64.80%,69.40%,51.80%,78.40%,3.7,2.3,All
Dick Norman,265.8,59.90%,73.80%,48.10%,79.90%,10,5.9,All
Chuck Adams,265.7,64.30%,69.40%,51.40%,78.70%,4.3,2.4,All
Michiel Schapers,265.7,67.20%,69.80%,49.20%,78.90%,3.9,3.3,All
Albert Costa,265.6,66.80%,67.60%,52.20%,77.60%,3.5,2.1,All
Ruben Bemelmans,265.5,64.20%,69.60%,50.20%,78.30%,6.3,3.1,All
Austin Krajicek,265.4,61.20%,72.50%,49.10%,78.20%,8.1,3.7,All
Rajeev Ram,265.4,60.60%,72.90%,48.60%,78.60%,7.6,2.9,All
Jan Siemerink,265.4,56.30%,74.90%,50.70%,81.50%,6.7,4.7,All
MaliVai Washington,265.4,59.10%,72.10%,51.70%,80.20%,5.4,3.1,All
Jannik Sinner,265.2,61.20%,70.10%,52.40%,79.50%,4.1,2.1,All
Arvind Parmar,265.1,61.20%,72.20%,49.80%,78.00%,6.9,3,All
Nicolas Thomann,265.1,55.90%,75.30%,51.20%,79.10%,7.1,3.5,All
Sergiy Stakhovsky,265.1,61.90%,71.40%,49.50%,78.40%,6.6,2.7,All
Daniel Nestor,265,59.40%,75.20%,47.20%,80.50%,8.5,5.8,All
Benjamin Becker,264.9,56.60%,74.50%,49.70%,79.30%,7.7,2.9,All
Pablo Carreno Busta,264.8,64.50%,68.80%,51.50%,77.70%,4.1,1.8,All
Alexandr Dolgopolov,264.7,54.60%,74.60%,51.30%,79.40%,7.6,2.8,All
Raemon Sluiter,264.7,58.70%,72.80%,50.70%,78.70%,7.2,3.4,All
Thomas Muster,264.6,61.70%,69.10%,53.70%,79.50%,3,2.4,All
