Player,Serve Rating,% 1st Serve,% 1st Serve Points Won,% 2nd Serve Points Won,% Service Games Won,Aces Per Match,Avg Double Faults/Match,Surface
Mark Koevermans,240.9,56.30%,67.00%,47.20%,69.00%,3.3,1.9,All
Andrei Chesnokov,240.8,58.20%,65.00%,48.40%,69.00%,2.9,2.7,All
Boris Pashanski,240.8,58.90%,66.10%,46.90%,69.80%,2.6,3.5,All
Daniel Munoz de la Nava,240.7,56.80%,66.90%,48.40%,69.50%,2.9,3.8,All
Bjorn Phau,240.7,52.80%,68.00%,49.30%,70.40%,3.7,3.5,All
Franco Davin,240.6,69.70%,60.90%,46.00%,64.60%,1.3,1.9,All
Julian Alonso,240.4,55.00%,67.80%,47.70%,70.60%,4.2,4.9,All
Jamie Delgado,240.4,54.10%,70.30%,45.00%,70.20%,5.1,4.3,All
Eyal Ran,240.4,56.80%,65.30%,48.50%,68.90%,3.4,2.5,All
Renzo Olivo,240.1,59.00%,66.60%,47.30%,68.80%,3.3,4.9,All
Francisco Montana,239.9,64.50%,61.20%,49.20%,66.40%,1.4,2.8,All
Fernando Roese,239.9,58.50%,65.00%,48.40%,68.30%,2.7,3,All
Marcelo Charpentier,239.8,69.60%,60.30%,46.10%,65.60%,1.6,3.4,All
Marcos Ondruska,239.7,58.40%,66.30%,46.10%,69.70%,2.8,3.6,All
Steve Bryan,239.6,62.10%,64.20%,46.40%,68.10%,1.7,2.9,All
Andrew Sznajder,239.6,57.40%,66.30%,46.40%,69.50%,3.9,3.9,All
Alejandro Hernandez,239.4,58.20%,67.50%,45.10%,68.30%,4.4,4.1,All
Joao Cunha-Silva,239.3,62.00%,63.80%,46.20%,67.40%,2.4,2.5,All
Frederik Fetterlein,239.3,58.60%,69.30%,43.00%,69.20%,4.9,5.7,All
Thierry Guardiola,239.3,55.30%,66.20%,47.90%,68.40%,3.3,1.8,All
Christian Ruud,239.3,59.00%,64.70%,47.70%,68.20%,2.6,2.9,All
Pere Riba,239,55.20%,66.60%,47.10%,68.30%,4.8,3,All
Danny Sapsford,238.7,55.00%,66.40%,48.80%,68.90%,2.3,2.7,All
Ruben Ramirez Hidalgo,238.5,57.10%,66.90%,46.40%,68.80%,3,3.7,All
Andre Sa,238.5,58.90%,64.80%,47.90%,67.30%,2.9,3.3,All
Mikael Pernfors,238.3,52.60%,66.80%,49.50%,69.00%,3,2.6,All
Lars-Anders Wahlgren,238,60.50%,63.20%,47.00%,65.90%,2.9,1.5,All
Mark Knowles,237.9,55.90%,68.60%,44.80%,69.90%,3.9,5.2,All
Antonio Veic,237.9,61.80%,64.70%,45.60%,65.90%,2.8,2.9,All
Lucas Arnold Ker,237.6,60.50%,66.60%,43.20%,69.40%,2.7,4.8,All
Oliver Gross,237.6,57.50%,67.10%,45.30%,68.40%,3.3,4,All
David Rikl,237.6,57.00%,66.20%,46.70%,68.90%,2.7,3.9,All
Robin Vik,237.6,62.80%,65.80%,43.10%,65.90%,3.7,3.7,All
Stephane Robert,237.4,53.10%,69.00%,46.50%,69.20%,3.9,4.3,All
Steve Campbell,237.3,58.70%,65.20%,46.40%,67.00%,3,3,All
Roberto Azar,237.3,68.70%,61.50%,43.80%,64.60%,1.8,3.1,All
Dimitri Poliakov,237.3,59.50%,64.10%,47.20%,67.20%,2.1,2.8,All
Santiago Ventura,237.1,53.80%,67.90%,46.50%,68.20%,3.8,3.1,All
Dinu Pescariu,237,66.50%,61.50%,45.70%,63.50%,2.4,2.6,All
Eduardo Masso,236.9,70.80%,57.30%,48.10%,62.00%,0.8,2.1,All
Doug Flach,236.8,57.20%,65.60%,46.70%,67.80%,3.1,3.6,All
Olivier Mutis,236.6,53.40%,66.90%,47.00%,68.50%,3.9,3.1,All
Orlin Stanoytchev,236.2,56.20%,68.70%,44.20%,68.30%,5,6.2,All
Christophe Rochus,236.1,60.80%,63.70%,46.50%,66.20%,1.8,2.9,All
Adrian Ungur,235.8,60.70%,64.00%,46.50%,66.30%,2.3,4,All
Tuomas Ketola,235.3,54.20%,68.70%,44.30%,66.50%,5.3,3.7,All
Daniel Orsanic,235.2,60.40%,64.00%,45.60%,66.20%,1.6,2.6,All
Jaime Oncins,235.1,55.90%,68.30%,44.40%,68.40%,2.9,4.8,All
Alex Lopez Moron,235,58.00%,65.90%,45.50%,67.70%,1.9,4,All
Julian Knowle,234.9,57.00%,67.60%,44.30%,68.70%,3.4,6.1,All
Thomas Hogstedt,234.8,51.80%,68.10%,46.80%,67.50%,4.3,3.7,All
Andrei Stoliarov,234.7,47.10%,69.10%,48.10%,69.50%,5,4.1,All
Martin Strelba,234.5,57.10%,65.40%,45.20%,66.30%,3.2,2.7,All
Axel Pretzsch,234.4,54.90%,68.10%,44.70%,67.10%,4.3,4.7,All
Diego Perez,233.8,60.60%,61.50%,48.40%,63.80%,2.3,2.8,All
Alessio Di Mauro,233.3,57.80%,63.40%,46.30%,64.30%,3.7,2.2,All
Juan Antonio Marin,233.2,56.70%,63.90%,47.60%,65.60%,1.9,2.5,All
German Puentes,232.8,65.20%,59.60%,47.10%,62.30%,1.3,2.7,All
Jan Gunnarsson,232.7,48.00%,70.60%,45.40%,66.70%,4.8,2.8,All
Lars Koslowski,232.7,64.60%,60.40%,45.80%,62.90%,1.9,2.9,All
Diego Junqueira,232.6,68.60%,58.10%,47.30%,59.50%,1,1.9,All
Francisco Roig,232.6,58.10%,63.20%,47.10%,64.80%,2,2.6,All
Michal Tabara,232.1,52.40%,66.40%,47.70%,67.00%,3.1,4.5,All
Veli Paloheimo,231,66.10%,59.30%,44.90%,61.40%,1.7,2.4,All
Gouichi Motomura,230.9,55.00%,63.70%,48.00%,65.80%,1.8,3.4,All
Flavio Cipolla,230.8,68.90%,59.00%,44.90%,60.80%,0.8,3.6,All
Federico Luzzi,230.4,56.20%,66.50%,43.00%,65.20%,3.3,3.8,All
Zeljko Krajan,230.1,60.60%,63.60%,44.10%,62.10%,2.9,3.2,All
David Nainkin,229.9,60.00%,64.50%,43.50%,64.70%,2.8,5.6,All
Patrik Fredriksson,229.7,53.50%,68.70%,43.00%,66.00%,4.2,5.7,All
Oscar Martinez,228.1,52.90%,64.20%,47.30%,65.10%,2,3.4,All
Frederic Fontang,227.6,64.80%,59.00%,44.90%,59.80%,1,1.9,All
Radomir Vasek,227,57.00%,67.20%,41.70%,64.80%,3.5,7.2,All
Jean-Rene Lisnard,226.8,52.20%,65.70%,46.40%,64.80%,2.2,4.5,All
Razvan Sabau,226.2,59.30%,62.00%,44.50%,62.10%,2.4,4.1,All
Marian Vajda,223.4,54.30%,61.50%,47.60%,61.70%,2.3,4,All
Daniel Elsner,222.4,54.10%,63.50%,44.90%,61.80%,2.7,4.6,All
Bart Wuyts,221.6,70.10%,57.70%,40.90%,56.70%,0.4,4.2,All
Kris Goossens,217.6,52.50%,65.50%,40.90%,60.90%,3.1,5.3,All
,,,,,,,,
Player,Serve Rating,% 1st Serve,% 1st Serve Points Won,% 2nd Serve Points Won,% Service Games Won,Avg. Aces/ Match,Avg. Double Faults/Match,Surface
John Isner,306.9,68.50%,76.80%,56.00%,91.20%,16.5,2.1,Clay
Ivo Karlovic,297.8,64.80%,80.20%,50.90%,88.80%,16.3,3.2,Clay
Milos Raonic,289.3,62.00%,77.80%,53.40%,87.90%,10.7,2.5,Clay
Nick Kyrgios,284.4,66.50%,73.60%,52.60%,84.40%,10.1,2.8,Clay
Rafael Nadal,283.2,70.10%,70.40%,57.20%,84.90%,1.9,1.3,Clay
Kevin Anderson,281,65.00%,74.00%,51.40%,83.80%,9.6,2.8,Clay
Matteo Berrettini,281,61.70%,75.40%,54.00%,85.20%,6.5,1.8,Clay
Andy Roddick,280.1,61.30%,75.00%,54.80%,83.90%,7.2,2.1,Clay
Roger Federer,279.9,60.80%,74.50%,55.60%,84.80%,5.9,1.7,Clay
Juan Balcells,279.2,72.90%,67.90%,54.30%,80.80%,5.2,1.9,Clay
Reilly Opelka,279,60.50%,74.50%,51.90%,83.90%,12.7,4.5,Clay
Wayne Arthurs,275.8,52.10%,79.10%,52.50%,85.10%,13,6,Clay
Jo-Wilfried Tsonga,274.8,63.30%,72.80%,52.60%,82.20%,5.9,2,Clay
Nicolas Jarry,274.7,63.90%,71.40%,53.80%,81.80%,7,3.2,Clay
Novak Djokovic,274.2,65.80%,70.60%,54.10%,81.90%,3.8,2,Clay
Juan Martin del Potro,272.9,64.10%,71.80%,51.80%,82.00%,5.5,2.3,Clay
Nicolas Almagro,272.8,58.40%,74.50%,52.70%,82.40%,7,2.2,Clay
Daniel Brands,272.5,65.80%,72.00%,50.20%,80.10%,7.2,2.8,Clay
Stefanos Tsitsipas,272.1,61.50%,72.20%,53.40%,82.60%,4.9,2.5,Clay
Leonardo Mayer,271.6,61.50%,73.20%,52.90%,81.80%,5.7,3.5,Clay
Dominic Thiem,271.6,61.20%,72.40%,54.10%,82.10%,4.3,2.5,Clay
Casper Ruud,271.6,65.60%,70.00%,53.50%,81.10%,3.7,2.3,Clay
Borna Coric,270.8,61.20%,71.50%,53.70%,81.30%,5.3,2.2,Clay
Jim Courier,270.6,62.10%,72.70%,52.00%,82.00%,4.5,2.7,Clay
Pierre-Hugues Herbert,270.4,61.00%,72.00%,51.50%,81.70%,7.3,3.1,Clay
Potito Starace,269.9,74.80%,65.40%,51.90%,76.90%,2,1.1,Clay
Sam Querrey,269.8,57.70%,76.20%,48.90%,80.50%,9.8,3.3,Clay
Horacio Zeballos,269.7,64.10%,70.60%,51.80%,79.70%,5.4,1.9,Clay
Martin Verkerk,269.6,59.00%,73.90%,50.30%,80.30%,10.5,4.4,Clay
Richard Krajicek,269.4,56.20%,78.30%,47.70%,80.80%,9.3,2.9,Clay
Victor Hanescu,269.3,69.10%,68.70%,50.60%,78.80%,3.6,1.5,Clay
Pete Sampras,269.2,58.90%,75.30%,49.10%,81.40%,8.1,3.6,Clay
Javier Frana,269,61.10%,71.80%,51.40%,80.50%,5.4,1.2,Clay
Stan Wawrinka,269,59.70%,71.00%,54.20%,81.20%,5.4,2.5,Clay
Simone Bolelli,268.9,68.40%,68.10%,52.60%,77.80%,3.2,1.2,Clay
Ivan Ljubicic,268.7,55.80%,74.90%,50.20%,80.90%,9.1,2.2,Clay
Tomas Berdych,268.5,58.70%,73.80%,51.70%,81.10%,5.5,2.3,Clay
Fernando Gonzalez,268.2,60.90%,73.30%,50.90%,81.30%,5.6,3.8,Clay
Pablo Cuevas,268.1,60.50%,71.80%,53.00%,80.10%,5.2,2.5,Clay
Lorenzo Sonego,267.9,62.40%,72.30%,50.20%,80.60%,4.5,2.1,Clay
Grigor Dimitrov,267.7,62.60%,72.20%,51.10%,79.80%,5.1,3.1,Clay
Fernando Verdasco,267.6,70.10%,68.10%,51.10%,78.10%,3.5,3.3,Clay
Luis Horna,267.5,67.90%,68.60%,50.90%,78.50%,4,2.4,Clay
Feliciano Lopez,267.5,58.70%,72.30%,51.50%,80.00%,7.6,2.6,Clay
Albert Costa,267.2,68.90%,66.60%,53.00%,77.70%,2.8,1.8,Clay
Juan Carlos Ferrero,266.6,67.20%,66.80%,54.10%,78.00%,2.4,1.9,Clay
Steve Johnson,266.4,58.40%,72.20%,52.10%,80.80%,5.9,3,Clay
Dusan Lajovic,266.2,64.40%,69.00%,52.60%,78.70%,3.3,1.8,Clay
Jiri Vesely,266.2,64.30%,70.10%,51.00%,78.40%,5.5,3.1,Clay
Marin Cilic,266,55.30%,73.80%,52.20%,80.80%,6.5,2.6,Clay
Marius Copil,266,58.50%,70.80%,52.80%,78.80%,7.6,2.5,Clay
Denis Istomin,266,67.00%,69.10%,49.50%,76.80%,5.4,1.8,Clay
Hubert Hurkacz,265.9,61.00%,69.80%,54.20%,77.80%,6.1,3,Clay
Todd Martin,265.9,61.60%,71.90%,49.80%,78.60%,6.6,2.6,Clay
Guido Pella,265.9,65.30%,69.30%,51.30%,77.80%,4.3,2.1,Clay
Robin Soderling,265.9,59.70%,72.40%,51.10%,79.70%,5.8,2.8,Clay
Victor Estrella Burgos,265.7,66.40%,67.70%,52.80%,77.30%,3.4,1.9,Clay
Philipp Kohlschreiber,265.6,61.50%,69.40%,53.90%,78.60%,4,1.8,Clay
Igor Andreev,265.5,64.40%,68.50%,53.20%,78.10%,3.6,2.3,Clay
Jack Sock,265.5,57.60%,72.90%,52.80%,81.30%,5,4.1,Clay
Magnus Larsson,265.4,63.80%,69.90%,50.80%,77.90%,4.7,1.7,Clay
Andrey Rublev,265.3,62.70%,70.70%,51.80%,77.60%,4.5,2,Clay
Michael Stich,265.1,57.20%,73.50%,51.30%,80.70%,5.9,3.5,Clay
Roberto Bautista Agut,264.9,67.10%,67.60%,52.40%,76.80%,2.6,1.6,Clay
Juan Ignacio Londero,264.9,60.10%,69.60%,55.30%,79.10%,3.4,2.6,Clay
Thiago Monteiro,264.6,65.40%,70.10%,49.80%,77.50%,4.1,2.3,Clay
Alexander Zverev,264.6,64.10%,70.40%,49.80%,77.80%,6.4,3.9,Clay
Thomas Muster,264.5,63.70%,67.80%,54.00%,78.80%,2.3,2.1,Clay
Mario Ancic,264.4,61.10%,70.90%,50.60%,77.10%,6.8,2.1,Clay
Mariano Puerta,264.4,64.50%,68.80%,52.10%,77.80%,3.1,1.9,Clay
Patrick Rafter,264.2,60.10%,72.80%,49.10%,79.90%,6.7,4.4,Clay
Younes El Aynaoui,264.1,60.10%,71.70%,50.10%,79.60%,5.8,3.2,Clay
Mark Philippoussis,264.1,56.20%,76.00%,48.00%,79.00%,10.2,5.3,Clay
Karen Khachanov,263.8,58.90%,71.10%,51.60%,79.40%,5.8,3,Clay
Tommy Robredo,263.8,66.80%,67.70%,51.80%,77.00%,2.5,2,Clay
Ernests Gulbis,263.7,59.00%,73.60%,49.20%,78.20%,7.7,4,Clay
Max Mirnyi,263.7,61.00%,71.80%,50.00%,78.70%,6.4,4.2,Clay
Kei Nishikori,263.5,62.20%,69.50%,52.30%,79.60%,2.3,2.4,Clay
Gustavo Kuerten,263.4,54.80%,73.50%,50.90%,79.80%,6.6,2.2,Clay
Radek Stepanek,263.2,61.60%,70.80%,50.30%,78.70%,4.7,2.9,Clay
Ivan Navarro,263.1,62.40%,71.50%,48.00%,78.40%,5.3,2.5,Clay
Alexander Bublik,263,58.60%,75.30%,45.70%,78.30%,10.8,5.7,Clay
Laslo Djere,262.9,61.00%,70.00%,52.10%,78.60%,4.4,3.2,Clay
Alexander Waske,262.9,60.40%,71.00%,50.10%,77.80%,7.4,3.8,Clay
Richard Gasquet,262.6,60.20%,70.40%,52.10%,78.30%,4.2,2.6,Clay
Andre Agassi,262.3,63.60%,69.30%,50.80%,77.80%,3.2,2.4,Clay
Carlos Moya,262.1,60.20%,70.30%,51.10%,78.70%,3.9,2.1,Clay
Lukas Rosol,261.8,58.00%,71.90%,50.10%,78.90%,5.7,2.8,Clay
Thiemo de Bakker,261.7,58.60%,70.60%,50.70%,77.40%,6.2,1.8,Clay
Alexandr Dolgopolov,261.5,53.50%,72.90%,52.30%,78.80%,6.2,2.2,Clay
Nikolay Davydenko,261.4,68.50%,66.10%,51.60%,75.00%,2.5,2.3,Clay
Agustin Calleri,261.4,55.40%,73.70%,50.20%,78.80%,6.2,2.9,Clay
Juan Monaco,261.4,68.30%,65.00%,53.30%,74.60%,1.9,1.7,Clay
Kyle Edmund,261.2,59.40%,69.90%,52.80%,77.70%,4.1,2.7,Clay
Joao Souza,261.2,62.70%,70.50%,49.50%,75.70%,5.1,2.3,Clay
Taylor Fritz,260.9,58.10%,71.60%,49.40%,76.20%,7.5,1.9,Clay
Bryan Shelton,260.7,56.40%,74.80%,47.70%,79.80%,7.6,5.6,Clay
Frances Tiafoe,260.7,61.40%,67.70%,52.60%,75.70%,5.6,2.3,Clay
Tommy Haas,260.5,57.60%,71.60%,51.20%,78.30%,5.3,3.5,Clay
Marat Safin,260.5,55.10%,72.40%,50.20%,78.30%,6.9,2.4,Clay
Raemon Sluiter,260.5,58.00%,70.90%,50.90%,76.60%,6.9,2.8,Clay
Gael Monfils,260.4,63.10%,69.40%,49.00%,76.70%,5.7,3.5,Clay
Dustin Brown,260.1,59.40%,72.30%,48.60%,77.80%,6,4,Clay
Federico Delbonis,260,61.10%,69.50%,51.80%,77.60%,3.2,3.2,Clay
Marco Cecchinato,259.8,67.40%,67.70%,48.50%,74.70%,3.6,2.1,Clay
Karel Novacek,259.8,55.60%,72.20%,50.50%,78.10%,5.5,2.1,Clay
Santiago Giraldo,259.7,64.30%,68.00%,49.80%,75.60%,3.2,1.2,Clay
Goran Ivanisevic,259.6,51.20%,77.30%,48.20%,78.50%,8.6,4.2,Clay
Alberto Berasategui,259.4,74.60%,63.30%,49.60%,72.90%,1.5,2.5,Clay
Pablo Carreno Busta,259.4,63.60%,68.00%,50.70%,75.50%,3.3,1.7,Clay
Jacco Eltingh,259.4,61.00%,71.30%,47.30%,77.00%,6.6,3.8,Clay
German Lopez,259.4,51.90%,74.60%,49.90%,78.50%,6.7,2.2,Clay
Marc-Kevin Goellner,259.2,53.10%,75.10%,48.90%,77.40%,8.3,3.6,Clay
Luiz Mattar,259.2,57.10%,70.90%,50.30%,77.10%,5.7,1.9,Clay
Albert Ramos-Vinolas,259.2,62.70%,67.30%,52.10%,76.50%,2.8,2.2,Clay
Stefan Edberg,258.9,61.80%,70.30%,48.70%,79.10%,2.5,3.5,Clay
Jerzy Janowicz,258.9,62.20%,71.50%,46.90%,76.70%,6.7,5.1,Clay
Eduardo Schwank,258.9,63.10%,66.90%,53.40%,74.70%,3.3,2.5,Clay
Felix Auger-Aliassime,258.6,64.00%,69.70%,48.30%,74.80%,5.8,4,Clay
Andrei Pavel,258.6,67.20%,65.90%,49.80%,74.10%,3,1.4,Clay
Sergi Bruguera,258.5,59.70%,68.80%,52.10%,76.30%,3.2,1.6,Clay
Andy Murray,258.5,58.40%,70.70%,50.00%,76.50%,5.1,2.2,Clay
Thomaz Bellucci,258.3,58.30%,70.20%,51.50%,76.30%,5.1,3.1,Clay
Maximilian Marterer,258.3,63.00%,66.00%,52.70%,74.30%,4.1,1.8,Clay
Denis Shapovalov,258.3,58.30%,69.60%,53.20%,77.30%,4.8,4.9,Clay
Jan-Lennard Struff,258.2,54.70%,73.50%,49.50%,77.20%,6.8,3.5,Clay
Richard Fromberg,258.1,57.80%,72.40%,47.90%,76.30%,7,3.3,Clay
Gerald Melzer,258.1,62.90%,69.40%,49.20%,75.20%,4.1,2.7,Clay
Cristian Garin,258,62.00%,69.60%,48.90%,76.20%,4.2,2.9,Clay
Jeremy Chardy,257.7,59.10%,71.20%,48.90%,76.60%,5.9,4,Clay
MaliVai Washington,257.7,57.90%,70.60%,50.10%,77.80%,4.8,3.5,Clay
David Ferrer,257.5,63.20%,67.20%,51.80%,75.70%,2,2.4,Clay
Boris Becker,257.4,57.60%,72.40%,48.30%,76.70%,5.7,3.3,Clay
Robin Haase,257.3,60.30%,69.50%,49.50%,75.60%,4.7,2.3,Clay
Jose Acasuso,257.2,54.90%,71.20%,51.40%,77.90%,4.1,2.3,Clay
Felix Mantilla,257.1,63.60%,66.40%,52.10%,74.40%,2.5,1.9,Clay
Ryan Harrison,257,59.20%,70.80%,49.00%,75.10%,6.3,3.4,Clay
Jason Stoltenberg,257,57.10%,71.80%,48.90%,76.70%,5.6,3.1,Clay
Emilio Sanchez,257,64.00%,66.70%,50.20%,74.00%,3.3,1.2,Clay
Greg Rusedski,256.7,57.50%,72.30%,47.30%,76.10%,7.4,3.9,Clay
Sergiy Stakhovsky,256.6,63.10%,67.90%,49.00%,74.20%,4.5,2.1,Clay
David Wheaton,256.2,60.40%,69.30%,49.10%,74.70%,6.5,3.8,Clay
Aljaz Bedene,255.9,56.10%,71.80%,48.90%,75.10%,6.4,2.4,Clay
Alberto Mancini,255.9,63.30%,66.70%,50.80%,74.40%,2.6,1.9,Clay
Marc Rosset,255.8,57.00%,74.60%,45.70%,77.00%,6.3,4.8,Clay
Albert Montanes,255.7,60.80%,69.20%,50.10%,75.40%,3.2,3,Clay
Guillermo Canas,255.6,57.50%,70.00%,51.30%,75.20%,4.2,2.6,Clay
Bernard Tomic,255.6,65.50%,65.70%,47.80%,73.00%,5.2,1.6,Clay
Magnus Norman,255.5,57.00%,69.60%,50.90%,75.10%,4.9,2,Clay
Magnus Gustafsson,255.4,66.60%,66.50%,49.10%,74.30%,2,3.1,Clay
Alex Corretja,255.2,58.00%,68.40%,52.00%,75.90%,3,2.1,Clay
Gilbert Schaller,255.2,77.40%,60.50%,49.20%,67.90%,1.1,0.9,Clay
Andreas Beck,255.1,59.00%,67.80%,52.90%,75.70%,3.5,3.8,Clay
Scott Draper,255.1,56.00%,70.10%,50.70%,74.80%,6.4,2.9,Clay
Edouard Roger-Vasselin,255.1,65.70%,66.10%,48.30%,73.80%,3.4,2.2,Clay
Julien Boutter,254.9,55.80%,71.10%,49.80%,76.90%,7.3,6,Clay
Jurgen Melzer,254.9,61.10%,67.80%,50.10%,74.50%,3.9,2.5,Clay
Marcelo Rios,254.8,57.10%,68.80%,52.10%,75.90%,3.7,2.8,Clay
Gilles Muller,254.7,58.60%,72.20%,45.70%,74.10%,7.8,3.7,Clay
Viktor Troicki,254.7,60.90%,68.90%,47.40%,73.80%,5.4,1.7,Clay
Alex Calatrava,254.6,59.40%,69.00%,48.80%,74.10%,5.3,2,Clay
Javier Sanchez,254.6,66.20%,65.80%,49.50%,73.00%,2.2,2.1,Clay
Facundo Bagnis,254.3,61.10%,67.20%,51.40%,73.70%,4.1,3.2,Clay
Nicolas Lapentti,254.2,60.70%,69.10%,48.70%,74.30%,3.8,2.4,Clay
Lucas Pouille,254.2,55.10%,69.50%,52.10%,76.10%,4.4,3,Clay
Martin Vassallo Arguello,254.2,67.60%,64.30%,50.10%,72.00%,2.7,2.5,Clay
Julian Reister,254.1,69.80%,64.80%,48.50%,71.20%,2,2.2,Clay
Jiri Novak,254.1,63.10%,67.20%,49.20%,73.10%,3.6,2.1,Clay
Janko Tipsarevic,254,55.40%,70.70%,49.70%,75.10%,5.5,2.4,Clay
Roberto Carballes Baena,253.9,63.40%,67.00%,49.70%,74.10%,2.8,3.1,Clay
David Goffin,253.9,58.40%,69.00%,50.80%,74.40%,4.3,3,Clay
Mariano Zabaleta,253.9,58.80%,68.80%,50.50%,75.40%,3.6,3.2,Clay
Mikhail Youzhny,253.8,62.40%,66.80%,50.00%,73.80%,3.2,2.4,Clay
Andrej Martin,253.7,65.20%,64.50%,50.90%,73.00%,2.3,2.2,Clay
James Blake,253.6,57.90%,68.10%,51.00%,74.80%,4.1,2.3,Clay
Steve Darcis,253.2,60.30%,68.90%,48.90%,73.80%,3,1.7,Clay
Guillermo Perez-Roldan,253.2,68.30%,63.20%,50.10%,71.40%,1.4,1.2,Clay
Damir Dzumhur,253.1,68.40%,62.90%,50.70%,70.40%,2,1.3,Clay
Andrei Medvedev,253.1,58.20%,68.50%,50.10%,75.00%,4.2,2.9,Clay
Daniel Gimeno-Traver,253,59.20%,69.50%,48.60%,74.40%,4.1,2.8,Clay
Michael Chang,252.9,58.70%,68.30%,50.20%,74.40%,3.1,1.8,Clay
Nicolas Kicker,252.9,62.30%,66.70%,51.10%,73.00%,2.1,2.3,Clay
Ugo Humbert,252.8,60.20%,68.20%,49.50%,73.60%,4.5,3.2,Clay
Hyung-Taik Lee,252.8,62.30%,66.30%,50.20%,73.50%,2.7,2.2,Clay
Antony Dupuis,252.5,57.90%,68.60%,49.10%,74.00%,5.7,2.8,Clay
Michael Llodra,252.5,60.10%,68.00%,48.20%,73.60%,6.1,3.5,Clay
Wayne Odesnik,252.5,60.30%,66.20%,50.70%,73.60%,4,2.3,Clay
Guillermo Coria,252.4,62.80%,67.10%,50.00%,74.20%,2.1,3.8,Clay
Wayne Ferreira,252.4,53.60%,71.40%,49.50%,75.20%,5.4,2.7,Clay
David Nalbandian,252.4,59.20%,67.10%,52.00%,74.50%,2.7,3.1,Clay
Tim Henman,252.3,57.20%,70.30%,48.40%,74.80%,4.8,3.2,Clay
Nicolas Mahut,252.3,61.30%,66.90%,49.00%,73.30%,4.9,3.1,Clay
Jaume Munar,252.3,63.90%,67.60%,47.80%,72.40%,3,2.4,Clay
Diego Hartfield,252.2,66.80%,64.80%,48.60%,71.80%,2.8,2.6,Clay
Oscar Hernandez,252.1,66.60%,64.60%,49.30%,71.70%,2.2,2.3,Clay
Jarkko Nieminen,252.1,66.20%,64.90%,48.80%,71.90%,2.2,1.9,Clay
Carlos Berlocq,252,65.50%,65.20%,49.70%,71.10%,2.6,2.1,Clay
Marcelo Filippini,252,67.60%,63.50%,50.40%,70.60%,1.6,1.7,Clay
Nicolas Massu,252,58.90%,68.30%,49.90%,73.90%,3.6,2.6,Clay
Mischa Zverev,252,63.30%,65.50%,49.70%,71.60%,3.6,1.7,Clay
Sebastien Grosjean,251.8,57.40%,67.30%,51.00%,73.60%,3.6,1.1,Clay
Gaston Gaudio,251.7,62.50%,66.50%,50.10%,73.00%,2.4,2.8,Clay
Michael Berrer,251.6,66.40%,66.70%,46.50%,71.90%,3.5,3.4,Clay
Emilio Benfele Alvarez,251.6,60.20%,68.30%,47.40%,74.70%,3.7,2.7,Clay
Ivan Dodig,251.5,59.00%,68.70%,48.30%,72.70%,5.5,2.7,Clay
Andrey Kuznetsov,251.5,57.00%,69.70%,49.50%,74.30%,3.4,2.4,Clay
Olivier Patience,251.5,62.20%,65.80%,49.40%,72.70%,4.2,2.8,Clay
Philipp Petzschner,251.5,55.60%,70.90%,48.50%,74.40%,4.7,2.6,Clay
Julien Benneteau,251.4,66.00%,65.50%,47.60%,71.50%,4.1,3.3,Clay
Hugo Armando,251.4,60.90%,65.90%,50.20%,74.20%,2.7,2.5,Clay
Mardy Fish,251.3,52.80%,72.20%,48.80%,73.60%,6.8,2.9,Clay
Pablo Andujar,251.1,65.00%,64.70%,50.10%,72.60%,1.4,2.7,Clay
Marcos Baghdatis,250.9,52.60%,69.50%,51.10%,75.10%,5.4,2.8,Clay
Markus Hantschk,250.9,56.20%,70.50%,48.50%,74.20%,3.9,2.4,Clay
Guy Forget,250.9,55.90%,71.90%,46.60%,72.50%,6.3,2.3,Clay
Jannik Sinner,250.9,61.50%,65.80%,50.50%,73.40%,1.9,2.2,Clay
Jan Hajek,250.8,64.60%,64.50%,49.90%,70.50%,2.8,1.5,Clay
Jan Siemerink,250.8,55.00%,73.00%,46.90%,75.20%,5.1,4.4,Clay
Peter Luczak,250.7,61.50%,65.80%,49.80%,72.10%,3.7,2.2,Clay
Martin Klizan,250.6,57.70%,68.10%,50.10%,74.00%,3.9,3.2,Clay
Filippo Volandri,250.6,71.30%,62.00%,49.60%,69.00%,0.6,1.9,Clay
Francisco Clavet,250.5,63.90%,64.40%,51.10%,71.70%,1.6,2.2,Clay
Florian Mayer,250.5,61.30%,66.90%,48.60%,72.00%,3.5,1.8,Clay
Goran Prpic,250.3,73.20%,62.30%,47.50%,67.70%,1.9,2.3,Clay
Ramon Delgado,250.2,59.10%,67.60%,48.60%,71.80%,6,2.9,Clay
Cedric Pioline,250.2,57.80%,69.00%,48.80%,73.60%,4.1,3.1,Clay
Radu Albot,250.1,65.70%,63.10%,51.20%,71.30%,1.5,2.7,Clay
Paolo Lorenzi,250.1,58.50%,68.10%,49.50%,72.80%,3.6,2.4,Clay
Joao Sousa,250.1,60.80%,68.60%,47.60%,72.40%,2.9,2.2,Clay
Marcos Daniel,250,62.90%,66.20%,48.00%,70.60%,4.1,1.8,Clay
Paul Capdeville,249.9,62.90%,66.40%,48.80%,71.50%,3,2.7,Clay
Paul-Henri Mathieu,249.9,55.90%,68.40%,50.80%,74.30%,3.2,2.7,Clay
Gabriel Markus,249.8,63.80%,64.70%,50.40%,71.60%,1.7,2.4,Clay
