Player,Under Pressure Rating,% Break Points Converted,% Break Points Saved,% Tie Breaks Won,% Deciding Sets Won,Surface
Bernd Karbacher,204.2,39.50%,58.80%,55.40%,50.50%,All
Juan Antonio Marin,204.2,43.40%,55.80%,44.60%,60.40%,All
Mikhail Youzhny,204.2,41.30%,60.50%,51.90%,50.50%,All
Marcos Baghdatis,204.1,40.30%,60.30%,54.30%,49.20%,All
Steve Campbell,203.9,42.80%,54.50%,55.00%,51.60%,All
Ivan Lendl,203.9,42.40%,62.50%,42.90%,56.10%,All
Cedric Pioline,203.8,39.90%,60.90%,54.10%,48.90%,All
Daniel Elsner,203.7,40.00%,53.70%,60.00%,50.00%,All
Taylor Fritz,203.7,35.40%,62.10%,54.80%,51.40%,All
Santiago Ventura,203.7,43.70%,55.70%,59.10%,45.20%,All
Byron Black,203.5,41.50%,58.80%,50.30%,52.90%,All
Ivan Dodig,203.4,40.70%,60.00%,52.70%,50.00%,All
Jan-Michael Gambill,203.4,40.10%,63.70%,48.30%,51.30%,All
Renzo Furlan,203.4,42.00%,56.70%,51.10%,53.60%,All
Fabrice Santoro,203.4,41.20%,59.50%,52.20%,50.50%,All
Boris Pashanski,203.4,39.30%,57.20%,46.20%,60.70%,All
James Blake,203.3,41.70%,61.30%,50.80%,49.50%,All
Scott Draper,203.3,37.80%,61.40%,52.10%,52.00%,All
Martin Vassallo Arguello,203.3,39.10%,57.30%,48.10%,58.80%,All
Hendrik Dreekmann,203.2,38.10%,60.50%,60.00%,44.60%,All
Hicham Arazi,203,40.30%,59.20%,52.30%,51.20%,All
Derrick Rostagno,202.9,39.30%,59.50%,46.20%,57.90%,All
Jeremy Chardy,202.7,37.40%,62.90%,47.50%,54.90%,All
Aaron Krickstein,202.6,42.00%,59.70%,49.50%,51.40%,All
Nicolas Massu,202.5,41.80%,61.30%,53.00%,46.40%,All
Mats Wilander,202.5,42.50%,57.40%,52.60%,50.00%,All
Fred Gil,202.4,40.90%,58.10%,42.90%,60.50%,All
Jurgen Melzer,202.4,40.00%,60.20%,48.20%,54.00%,All
Yoshihito Nishioka,202.4,38.60%,59.20%,52.40%,52.20%,All
Brett Steven,202.4,40.60%,61.00%,48.60%,52.20%,All
Kenneth Carlsen,202.3,36.80%,64.00%,50.60%,50.90%,All
Ricardo Mello,202.3,39.90%,56.80%,55.60%,50.00%,All
Andrea Gaudenzi,202.2,40.60%,57.30%,51.20%,53.10%,All
Fernando Verdasco,202.2,40.30%,62.80%,49.10%,50.00%,All
Aslan Karatsev,201.9,39.70%,62.20%,50.00%,50.00%,All
Nicolas Almagro,201.8,39.00%,62.00%,48.20%,52.60%,All
Javier Sanchez,201.8,40.40%,58.10%,49.40%,53.90%,All
Cedrik-Marcel Stebe,201.7,38.50%,55.30%,52.90%,55.00%,All
Hyeon Chung,201.4,42.50%,58.00%,43.10%,57.80%,All
Francisco Clavet,201.4,42.70%,58.00%,49.80%,50.90%,All
Evgeny Korolev,201.4,41.30%,58.80%,52.20%,49.10%,All
Thanasi Kokkinakis,201.4,37.70%,65.90%,54.30%,43.50%,All
Gilbert Schaller,201.4,42.90%,55.20%,51.30%,52.00%,All
Patrick McEnroe,201.3,41.60%,60.60%,46.90%,52.20%,All
Jonas Bjorkman,201.2,40.30%,59.50%,52.10%,49.30%,All
Damir Dzumhur,201.2,42.70%,56.60%,44.90%,57.00%,All
Wally Masur,201.2,39.40%,61.30%,48.50%,52.00%,All
Alberto Martin,201.2,41.80%,57.20%,50.00%,52.20%,All
Diego Schwartzman,201.2,43.90%,56.70%,47.50%,53.10%,All
Pablo Cuevas,200.9,39.90%,60.70%,52.10%,48.20%,All
Neville Godwin,200.9,41.10%,60.50%,46.20%,53.10%,All
Ivo Karlovic,200.9,30.20%,71.10%,49.80%,49.80%,All
