Player,Under Pressure Rating,% Break Points Converted,% Break Points Saved,% Tie Breaks Won,% Deciding Sets Won,Surface
Wayne Ferreira,217.6,40.10%,58.70%,63.20%,55.60%,Clay
Lucas Pouille,217.5,39.00%,61.60%,63.60%,53.30%,Clay
Milos Raonic,217.1,37.60%,67.60%,51.90%,60.00%,Clay
Federico Luzzi,217,40.70%,55.70%,70.60%,50.00%,Clay
Agustin Calleri,216.8,41.40%,60.70%,57.30%,57.40%,Clay
Fabio Fognini,216.7,43.60%,55.90%,57.00%,60.20%,Clay
Alex Corretja,216.6,43.60%,60.10%,48.40%,64.50%,Clay
Mariano Puerta,216.5,43.40%,59.10%,59.30%,54.70%,Clay
Alberto Mancini,216.3,41.20%,61.40%,56.00%,57.70%,Clay
Slava Dosedel,216.2,44.70%,55.80%,60.00%,55.70%,Clay
Martin Jaite,215.8,43.60%,56.60%,60.00%,55.60%,Clay
Mauricio Hadad,215.7,41.60%,54.50%,66.70%,52.90%,Clay
Francisco Clavet,215.5,43.80%,58.20%,58.30%,55.20%,Clay
Attila Savolt,215.5,34.90%,59.20%,50.00%,71.40%,Clay
Matthias Bachinger,215.2,34.70%,60.90%,62.50%,57.10%,Clay
Petr Korda,214.8,43.70%,59.50%,56.00%,55.60%,Clay
Lleyton Hewitt,214.8,45.40%,59.60%,52.10%,57.70%,Clay
MaliVai Washington,214.8,44.70%,59.70%,57.10%,53.30%,Clay
Steve Johnson,214.7,39.10%,63.00%,58.10%,54.50%,Clay
Jarkko Nieminen,214.7,43.70%,59.50%,52.40%,59.10%,Clay
Nicolas Massu,214.6,43.40%,60.30%,61.50%,49.40%,Clay
David Nalbandian,214.4,45.90%,56.00%,58.00%,54.50%,Clay
Sergi Bruguera,214.3,47.20%,60.20%,55.70%,51.20%,Clay
Juan Martin del Potro,214.3,42.60%,60.80%,45.50%,65.40%,Clay
Jaime Yzaga,214.3,44.50%,57.40%,59.50%,52.90%,Clay
Magnus Gustafsson,214.2,45.50%,58.90%,45.60%,64.20%,Clay
Richard Krajicek,213.9,41.40%,59.40%,58.30%,54.80%,Clay
Gustavo Kuerten,213.9,42.70%,62.60%,42.40%,66.20%,Clay
Denis Gremelmayr,213.8,37.30%,56.50%,50.00%,70.00%,Clay
Magnus Larsson,213.7,38.90%,59.40%,51.60%,63.80%,Clay
Jiri Novak,213.6,42.70%,58.40%,46.70%,65.80%,Clay
Juan Ignacio Londero,213.5,38.20%,62.00%,53.30%,60.00%,Clay
Aaron Krickstein,213.4,45.70%,56.30%,75.00%,36.40%,Clay
Luiz Mattar,213.3,37.70%,61.90%,45.50%,68.20%,Clay
Bernd Karbacher,212.9,39.70%,59.40%,55.10%,58.70%,Clay
Tomas Berdych,211.9,43.80%,61.20%,56.20%,50.70%,Clay
Alberto Martin,211.9,42.60%,58.20%,56.40%,54.70%,Clay
Jan Hajek,211.7,38.40%,60.00%,73.30%,40.00%,Clay
Horst Skoff,211.7,42.80%,55.80%,53.10%,60.00%,Clay
Jaume Munar,211.6,38.60%,57.20%,70.00%,45.80%,Clay
Juan Ignacio Chela,211.4,45.20%,58.80%,47.80%,59.60%,Clay
Tomas Carbonell,211.2,46.00%,56.80%,51.10%,57.30%,Clay
Guido Pella,211.2,39.20%,61.90%,51.80%,58.30%,Clay
Stefan Koubek,211.2,42.20%,57.90%,56.90%,54.20%,Clay
Andrea Gaudenzi,211.1,43.30%,56.50%,50.60%,60.70%,Clay
Xavier Malisse,211.1,40.50%,55.90%,52.20%,62.50%,Clay
Sebastien Grosjean,210.8,39.40%,60.50%,60.90%,50.00%,Clay
Thiago Monteiro,210.7,42.90%,61.10%,66.70%,40.00%,Clay
Mikael Tillstrom,210.5,40.60%,57.00%,52.90%,60.00%,Clay
Fernando Meligeni,210.4,43.90%,58.80%,54.80%,52.90%,Clay
Martin Verkerk,210.4,38.90%,63.10%,54.20%,54.20%,Clay
Philipp Kohlschreiber,210.3,41.20%,58.90%,54.20%,56.00%,Clay
Marc Gicquel,210.2,42.80%,57.80%,66.70%,42.90%,Clay
Janko Tipsarevic,210.1,41.40%,57.10%,50.90%,60.70%,Clay
Nicolas Jarry,209.9,38.40%,61.30%,58.30%,51.90%,Clay
Juan Antonio Marin,209.9,44.20%,56.30%,46.40%,63.00%,Clay
Marc Rosset,209.9,37.30%,60.70%,51.50%,60.40%,Clay
Christian Bergstrom,209.6,43.60%,57.00%,35.70%,73.30%,Clay
Magnus Norman,209.6,42.30%,60.00%,52.00%,55.30%,Clay
Philipp Petzschner,209.4,37.50%,58.50%,56.30%,57.10%,Clay
Radek Stepanek,209.4,40.80%,61.60%,52.50%,54.50%,Clay
Albert Montanes,209.3,39.30%,58.80%,54.10%,57.10%,Clay
Roberto Bautista Agut,209.1,44.20%,60.00%,48.80%,56.10%,Clay
Andrei Chesnokov,209.1,48.80%,55.20%,52.60%,52.50%,Clay
Taylor Fritz,209.1,31.90%,54.70%,60.00%,62.50%,Clay
Kevin Anderson,209.1,35.30%,66.40%,54.50%,52.90%,Clay
Gilles Simon,209,44.50%,58.40%,45.70%,60.40%,Clay
Roberto Carballes Baena,208.8,43.20%,59.00%,55.00%,51.60%,Clay
Feliciano Lopez,208.7,35.80%,63.90%,53.30%,55.70%,Clay
Alberto Berasategui,208.5,44.60%,58.60%,50.00%,55.30%,Clay
Michael Chang,208.4,43.20%,58.00%,53.50%,53.70%,Clay
Andre Agassi,208.4,45.00%,62.00%,58.10%,43.30%,Clay
Nicolas Almagro,208.4,39.80%,61.80%,51.80%,55.00%,Clay
Gael Monfils,208.3,43.60%,60.80%,48.70%,55.20%,Clay
Renzo Furlan,208.2,44.60%,56.80%,55.60%,51.20%,Clay
Fernando Verdasco,208,40.80%,61.10%,52.60%,53.50%,Clay
Potito Starace,207.8,40.50%,61.90%,53.50%,51.90%,Clay
Lukasz Kubot,207.7,40.10%,55.20%,64.30%,48.10%,Clay
Jack Sock,207.6,38.10%,64.00%,65.50%,40.00%,Clay
Marian Vajda,207.6,42.10%,52.10%,66.70%,46.70%,Clay
Pablo Cuevas,207.1,41.50%,61.30%,50.90%,53.40%,Clay
Todd Martin,207.1,40.70%,63.30%,58.70%,44.40%,Clay
Andrew Ilie,206.9,37.50%,61.40%,45.50%,62.50%,Clay
Mark Philippoussis,206.8,35.60%,57.50%,46.00%,67.70%,Clay
Lucas Arnold Ker,206.7,44.80%,59.60%,55.60%,46.70%,Clay
Aljaz Bedene,206.5,41.10%,58.00%,60.00%,47.40%,Clay
Viktor Troicki,206.5,41.40%,59.20%,44.90%,61.00%,Clay
Marin Cilic,206.3,42.70%,64.20%,46.30%,53.10%,Clay
Javier Sanchez,206.3,41.50%,57.10%,53.90%,53.80%,Clay
Karim Alami,206.2,39.80%,57.60%,50.00%,58.80%,Clay
Jeremy Chardy,206.2,39.40%,59.80%,55.10%,51.90%,Clay
Grigor Dimitrov,206.1,40.00%,60.90%,49.10%,56.10%,Clay
Jose Acasuso,206.1,40.90%,61.30%,51.40%,52.50%,Clay
Blaz Kavcic,206.1,46.80%,52.80%,63.60%,42.90%,Clay
Lukas Rosol,205.9,40.60%,63.30%,56.80%,45.20%,Clay
Adrian Voinea,205.9,41.50%,55.30%,56.90%,52.20%,Clay
Julian Alonso,205.4,44.10%,58.00%,46.20%,57.10%,Clay
Diego Hartfield,205.4,34.80%,57.70%,46.20%,66.70%,Clay
Robin Soderling,205.4,44.00%,60.40%,39.10%,61.90%,Clay
Younes El Aynaoui,205.3,38.90%,63.00%,52.20%,51.20%,Clay
Dominik Hrbaty,205.3,41.90%,57.70%,55.70%,50.00%,Clay
Galo Blanco,205,41.20%,58.70%,60.20%,44.90%,Clay
Nicolas Escude,205,38.70%,55.80%,43.80%,66.70%,Clay
Pere Riba,205,42.40%,53.90%,52.40%,56.30%,Clay
Mariano Zabaleta,205,41.20%,59.90%,50.00%,53.90%,Clay
Benoit Paire,205,42.20%,59.60%,50.00%,53.20%,Clay
Jordi Arrese,204.9,43.90%,55.10%,44.30%,61.60%,Clay
Martin Vassallo Arguello,204.6,38.80%,59.00%,45.50%,61.30%,Clay
Jason Stoltenberg,204.4,44.70%,62.00%,40.00%,57.70%,Clay
Juan Monaco,204.3,43.80%,56.80%,46.40%,57.30%,Clay
Boris Becker,204.2,39.00%,57.50%,50.00%,57.70%,Clay
Victor Hanescu,204.2,38.50%,62.30%,57.40%,46.00%,Clay
Guy Forget,204,35.30%,56.30%,52.40%,60.00%,Clay
Ivan Ljubicic,204,40.80%,62.60%,46.10%,54.50%,Clay
Jeff Tarango,203.9,42.10%,60.30%,44.80%,56.70%,Clay
Jurgen Melzer,203.7,42.30%,57.70%,50.80%,52.90%,Clay
Cedric Pioline,203.6,42.30%,57.50%,50.80%,53.00%,Clay
Nikolay Davydenko,203.3,43.10%,59.00%,50.00%,51.20%,Clay
Karen Khachanov,203.1,40.90%,62.40%,47.40%,52.40%,Clay
Julien Boutter,203,38.70%,63.70%,46.40%,54.20%,Clay
Marcel Granollers,203,42.60%,56.00%,49.20%,55.20%,Clay
Joao Sousa,203,38.90%,57.30%,53.20%,53.60%,Clay
Flavio Saretta,202.9,44.40%,60.10%,48.40%,50.00%,Clay
Nicolas Lapentti,202.8,39.90%,59.10%,51.40%,52.40%,Clay
Tim Henman,202.6,41.20%,61.90%,55.90%,43.60%,Clay
Javier Frana,202.4,41.90%,64.00%,37.90%,58.60%,Clay
Marat Safin,202.4,40.60%,62.30%,48.80%,50.70%,Clay
Patrick Rafter,202.4,37.00%,63.10%,45.20%,57.10%,Clay
Kristof Vliegen,202.4,42.30%,52.20%,52.90%,55.00%,Clay
German Lopez,202.3,40.70%,63.20%,42.10%,56.30%,Clay
Dustin Brown,202.2,42.20%,61.20%,51.40%,47.40%,Clay
Lorenzo Sonego,202.2,34.70%,64.50%,56.30%,46.70%,Clay
Stefanos Tsitsipas,202.2,42.10%,63.40%,50.00%,46.70%,Clay
Alexander Volkov,202.2,44.20%,57.00%,47.40%,53.60%,Clay
Carlos Costa,201.9,44.60%,56.10%,52.40%,48.80%,Clay
Juan Albert Viloca-Puig,201.9,41.20%,60.30%,47.10%,53.30%,Clay
Filip Krajinovic,201.8,41.70%,54.80%,41.70%,63.60%,Clay
Leonardo Mayer,201.8,36.90%,61.60%,60.20%,43.10%,Clay
Gilbert Schaller,201.6,44.10%,54.40%,50.00%,53.10%,Clay
Denis Shapovalov,201.6,36.40%,58.70%,42.90%,63.60%,Clay
John Isner,201.5,28.60%,73.40%,55.30%,44.20%,Clay
Andrey Rublev,201.2,43.70%,57.50%,50.00%,50.00%,Clay
Bryan Shelton,201.2,38.50%,59.50%,51.50%,51.70%,Clay
Alexandr Dolgopolov,200.9,40.00%,61.50%,53.10%,46.30%,Clay
Andreas Vinciguerra,200.9,43.50%,64.30%,36.00%,57.10%,Clay
Daniel Koellerer,200.8,33.30%,50.80%,66.70%,50.00%,Clay
Fabrice Santoro,200.7,42.10%,58.20%,48.40%,52.00%,Clay
Mardy Fish,200.4,39.30%,60.90%,47.60%,52.60%,Clay
Andrey Kuznetsov,200.3,35.90%,55.60%,50.00%,58.80%,Clay
Andres Gomez,200.1,41.60%,61.80%,52.90%,43.80%,Clay
Ernests Gulbis,199.9,40.30%,61.40%,57.40%,40.80%,Clay
Tomas Behrend,199.8,43.50%,55.80%,55.00%,45.50%,Clay
Steve Darcis,199.8,39.30%,57.70%,61.10%,41.70%,Clay
Razvan Sabau,199.7,40.00%,53.00%,66.70%,40.00%,Clay
Gabriel Markus,199.6,44.10%,55.30%,46.90%,53.30%,Clay
Bohdan Ulihrach,199.6,43.30%,58.00%,51.80%,46.50%,Clay
Guillermo Canas,199.5,44.30%,57.50%,54.80%,42.90%,Clay
Luis Horna,199.5,38.30%,59.60%,60.30%,41.30%,Clay
Fred Gil,199.5,41.20%,56.80%,37.50%,64.00%,Clay
Dennis Van Scheppingen,199.4,38.50%,55.30%,55.60%,50.00%,Clay
Jiri Vanek,199.3,42.40%,57.60%,57.10%,42.20%,Clay
Sergiy Stakhovsky,199.3,38.20%,57.40%,55.90%,47.80%,Clay
Marcelo Filippini,199.2,39.70%,58.30%,60.50%,40.70%,Clay
Filip Dewulf,198.7,42.50%,60.40%,52.90%,42.90%,Clay
David Sanchez,198.7,44.80%,56.50%,47.40%,50.00%,Clay
Oliver Gross,198.6,44.20%,56.90%,44.40%,53.10%,Clay
Oliver Marach,198.6,42.10%,62.00%,54.50%,40.00%,Clay
Andreas Seppi,198.5,41.50%,58.70%,49.40%,48.90%,Clay
Flavio Cipolla,198.4,38.50%,57.10%,25.00%,77.80%,Clay
Taro Daniel,198.4,42.50%,58.90%,44.40%,52.60%,Clay
Vincent Spadea,198.4,42.90%,58.80%,47.60%,49.10%,Clay
Evgeny Korolev,198.1,40.30%,54.80%,47.40%,55.60%,Clay
Thomaz Bellucci,197.6,40.70%,56.90%,49.40%,50.60%,Clay
Boris Pashanski,197.5,38.90%,57.70%,43.80%,57.10%,Clay
Jens Knippschild,197.4,38.40%,56.70%,58.80%,43.50%,Clay
Jan Hernych,197.4,40.20%,56.80%,58.30%,42.10%,Clay
Nicolas Mahut,197.2,40.70%,58.60%,37.90%,60.00%,Clay
Eduardo Schwank,197.1,38.60%,52.80%,61.30%,44.40%,Clay
Emilio Benfele Alvarez,196.9,41.10%,60.90%,51.60%,43.30%,Clay
Antony Dupuis,196.5,36.20%,63.50%,55.60%,41.20%,Clay
Hicham Arazi,196.5,41.10%,56.60%,60.00%,38.80%,Clay
Lukas Dlouhy,196.5,42.40%,56.90%,75.00%,22.20%,Clay
Guillermo Garcia-Lopez,196.5,40.40%,58.40%,46.70%,51.00%,Clay
Borna Coric,196.4,35.40%,62.00%,52.60%,46.40%,Clay
Hernan Gumy,196.4,43.00%,56.20%,53.60%,43.60%,Clay
Markus Hantschk,196.1,39.80%,56.30%,35.70%,64.30%,Clay
Nuno Marques,196,42.80%,58.20%,60.00%,35.00%,Clay
Pablo Carreno Busta,195.8,42.60%,58.80%,50.00%,44.40%,Clay
Albert Portas,195.8,42.10%,56.90%,49.40%,47.40%,Clay
Horacio Zeballos,195.8,36.90%,62.10%,45.50%,51.30%,Clay
Richard Fromberg,195.7,41.80%,60.00%,47.10%,46.80%,Clay
Ivan Dodig,195.4,42.40%,56.30%,43.80%,52.90%,Clay
Bjorn Phau,195.1,43.00%,55.90%,50.00%,46.20%,Clay
Albert Ramos-Vinolas,195,42.00%,60.40%,37.50%,55.10%,Clay
Ivo Karlovic,194.9,27.60%,68.40%,50.00%,48.90%,Clay
Marc-Kevin Goellner,194.8,41.80%,60.60%,46.50%,45.90%,Clay
Carlos Berlocq,194.8,42.60%,56.50%,57.90%,37.80%,Clay
Marzio Martelli,194.7,34.80%,59.90%,50.00%,50.00%,Clay
Emilio Sanchez,194.7,40.20%,59.30%,41.90%,53.30%,Clay
Mikhail Youzhny,194.7,39.60%,58.80%,53.90%,42.40%,Clay
Jim Courier,194.6,43.40%,64.20%,52.50%,34.50%,Clay
Gerald Melzer,194.5,36.20%,58.70%,52.90%,46.70%,Clay
Simone Bolelli,194.3,36.60%,59.50%,51.80%,46.40%,Clay
Marco Cecchinato,194.3,38.40%,55.90%,57.60%,42.40%,Clay
Santiago Giraldo,194.1,39.10%,59.90%,46.30%,48.80%,Clay
Diego Perez,194.1,37.10%,51.70%,63.60%,41.70%,Clay
Florent Serra,194.1,41.30%,58.50%,53.10%,41.20%,Clay
Kyle Edmund,193.9,49.30%,61.90%,53.30%,29.40%,Clay
Markus Naewie,193.9,47.30%,58.10%,50.00%,38.50%,Clay
Rainer Schuettler,193.9,39.90%,55.60%,57.10%,41.30%,Clay
Sjeng Schalken,193.8,43.00%,58.30%,42.50%,50.00%,Clay
Karol Kucera,193.7,42.90%,55.00%,53.30%,42.50%,Clay
Stefano Pescosolido,193.6,40.40%,57.40%,40.60%,55.20%,Clay
Christian Ruud,193.4,43.70%,53.20%,51.50%,45.00%,Clay
Jerome Golmard,193.3,40.10%,61.20%,54.50%,37.50%,Clay
Daniel Brands,193.2,32.00%,60.30%,60.90%,40.00%,Clay
Hubert Hurkacz,193.2,44.40%,60.20%,60.00%,28.60%,Clay
Bart Wuyts,193.2,46.50%,52.30%,44.40%,50.00%,Clay
Fernando Vicente,193.2,41.90%,57.10%,45.90%,48.30%,Clay
Mark Woodforde,193.1,38.50%,62.70%,41.90%,50.00%,Clay
Federico Delbonis,192.9,40.90%,60.30%,43.30%,48.40%,Clay
Jose Francisco Altur,192.8,41.90%,52.10%,41.70%,57.10%,Clay
Oscar Hernandez,192.6,38.50%,57.80%,57.10%,39.20%,Clay
Ryan Harrison,191.8,37.80%,58.40%,55.60%,40.00%,Clay
Dmitry Tursunov,191.8,39.00%,58.00%,47.40%,47.40%,Clay
Irakli Labadze,191.7,41.50%,59.60%,46.20%,44.40%,Clay
Facundo Bagnis,191.3,35.40%,60.00%,43.50%,52.40%,Clay
Igor Andreev,191.3,40.70%,59.40%,37.80%,53.40%,Clay
Franco Squillari,191,41.80%,57.40%,41.80%,50.00%,Clay
Johan Van Herck,190.9,44.40%,56.50%,50.00%,40.00%,Clay
Markus Hipfl,190.7,43.30%,54.20%,56.50%,36.70%,Clay
Andrei Cherkasov,190.6,42.40%,55.70%,52.50%,40.00%,Clay
Andrei Pavel,190.5,42.40%,58.60%,48.30%,41.20%,Clay
Pablo Andujar,190.2,40.00%,58.90%,44.30%,47.00%,Clay
Hyung-Taik Lee,190.1,34.70%,57.70%,25.00%,72.70%,Clay
John Millman,190.1,38.20%,60.30%,58.30%,33.30%,Clay
Radu Albot,190,40.70%,56.40%,50.00%,42.90%,Clay
Paul Haarhuis,190,44.20%,59.00%,40.60%,46.20%,Clay
Max Mirnyi,189.9,33.60%,63.00%,50.00%,43.30%,Clay
Jiri Vesely,189.9,40.90%,60.00%,42.30%,46.70%,Clay
Paul-Henri Mathieu,189.8,43.20%,56.80%,47.20%,42.60%,Clay
Robin Haase,189.4,40.60%,57.90%,35.00%,55.90%,Clay
Goran Prpic,189.4,45.70%,52.60%,47.80%,43.30%,Clay
Dusan Lajovic,189.3,38.90%,62.10%,39.60%,48.70%,Clay
Ramon Delgado,189.2,38.80%,55.40%,41.20%,53.80%,Clay
Florian Mayer,189.2,42.20%,57.30%,43.30%,46.40%,Clay
Paolo Lorenzi,188.9,39.00%,58.10%,42.90%,48.90%,Clay
Denis Istomin,188.7,37.50%,61.10%,48.90%,41.20%,Clay
Alexander Bublik,188.6,30.70%,62.10%,62.50%,33.30%,Clay
David Prinosil,188.6,37.80%,55.00%,62.50%,33.30%,Clay
James Blake,188.4,43.80%,58.90%,45.70%,40.00%,Clay
Maximo Gonzalez,188.2,39.00%,60.90%,36.80%,51.50%,Clay
Sargis Sargsian,188.1,42.80%,57.50%,39.40%,48.40%,Clay
Julien Benneteau,188,39.60%,56.40%,47.80%,44.20%,Clay
Jan Siemerink,187.9,37.30%,58.20%,56.00%,36.40%,Clay
Mischa Zverev,187.8,38.50%,60.00%,37.10%,52.20%,Clay
Hendrik Dreekmann,187.7,37.60%,58.00%,57.10%,35.00%,Clay
Nicolas Devilder,187.7,37.40%,60.10%,54.50%,35.70%,Clay
Jonas Svensson,187.7,44.30%,60.50%,42.90%,40.00%,Clay
John van Lottum,187.5,42.20%,57.80%,50.00%,37.50%,Clay
Daniel Orsanic,187.4,48.20%,60.60%,50.00%,28.60%,Clay
Christophe Rochus,187.4,41.30%,54.90%,44.00%,47.20%,Clay
Marton Fucsovics,187.2,38.70%,60.90%,56.30%,31.30%,Clay
Andreas Beck,186.3,33.80%,58.90%,46.20%,47.40%,Clay
Arnaud Di Pasquale,186.3,46.40%,55.10%,42.90%,41.90%,Clay
Michel Kratochvil,186.2,41.70%,57.90%,33.30%,53.30%,Clay
Thomas Enqvist,186,39.20%,54.70%,46.20%,45.90%,Clay
Michael Llodra,186,39.80%,59.70%,48.00%,38.50%,Clay
Franco Davin,185.9,45.40%,54.00%,51.40%,35.10%,Clay
Filippo Volandri,185.7,45.70%,56.20%,40.00%,43.80%,Clay
Jordi Burillo,185.6,44.40%,56.10%,42.00%,43.10%,Clay
Roberto Azar,185.5,41.40%,54.60%,35.00%,54.50%,Clay
Ivan Lendl,185.4,45.50%,56.10%,25.00%,58.80%,Clay
Stephane Robert,185.3,42.50%,54.30%,50.00%,38.50%,Clay
Alex Lopez Moron,185.1,40.80%,55.50%,45.00%,43.80%,Clay
Olivier Delaitre,185,38.90%,56.10%,40.00%,50.00%,Clay
Ivan Navarro,184.5,39.60%,61.60%,47.60%,35.70%,Clay
Olivier Rochus,184.4,40.60%,57.00%,47.20%,39.60%,Clay
Andreas Haider-Maurer,184.2,39.80%,58.70%,38.10%,47.60%,Clay
Oscar Martinez,184.2,38.70%,52.60%,42.90%,50.00%,Clay
Inigo Cervantes,183.8,41.90%,53.40%,38.50%,50.00%,Clay
Raemon Sluiter,183.6,40.10%,56.30%,41.40%,45.80%,Clay
Todd Woodbridge,183.5,39.10%,52.70%,50.00%,41.70%,Clay
Alex Calatrava,183.4,41.30%,59.00%,42.10%,41.00%,Clay
Juan Balcells,183.3,42.40%,65.10%,32.00%,43.80%,Clay
Frances Tiafoe,183.1,36.20%,53.10%,47.60%,46.20%,Clay
Tomas Zib,183,39.60%,56.20%,45.50%,41.70%,Clay
Nicklas Kulti,182.9,38.50%,57.30%,48.10%,39.00%,Clay
Jean-Philippe Fleurian,182.7,43.20%,60.20%,42.90%,36.40%,Clay
Claudio Mezzadri,182.5,40.20%,59.90%,47.40%,35.00%,Clay
Jonas Bjorkman,182.3,38.50%,57.00%,48.30%,38.50%,Clay
Alexander Waske,182.3,36.10%,60.70%,54.20%,31.30%,Clay
Wayne Arthurs,181.7,28.10%,68.80%,41.00%,43.80%,Clay
Omar Camporese,181.6,44.50%,56.70%,47.10%,33.30%,Clay
Rogerio Dutra Silva,181.5,38.20%,56.70%,58.80%,27.80%,Clay
Peter Luczak,181.4,34.10%,61.30%,47.10%,38.90%,Clay
Davide Sanguinetti,181.4,38.40%,57.50%,46.70%,38.80%,Clay
Horacio de la Pena,181.1,45.40%,54.90%,45.50%,35.30%,Clay
Rodolphe Gilbert,181.1,39.50%,56.60%,43.80%,41.20%,Clay
Ronald Agenor,181,41.80%,55.30%,42.90%,41.00%,Clay
Martin Sinner,180.8,46.20%,50.20%,44.40%,40.00%,Clay
Gerard Solves,180.6,35.60%,53.80%,50.00%,41.20%,Clay
Martin Rodriguez,180.4,31.10%,60.70%,53.30%,35.30%,Clay
Teymuraz Gabashvili,180.1,37.30%,61.20%,47.10%,34.50%,Clay
Ruben Ramirez Hidalgo,180,45.50%,57.60%,44.90%,32.00%,Clay
Byron Black,179.5,36.90%,55.10%,50.00%,37.50%,Clay
Claudio Pistolesi,179.2,43.40%,59.20%,38.50%,38.10%,Clay
Arnaud Boetsch,178.7,40.00%,59.00%,36.40%,43.30%,Clay
Jean-Rene Lisnard,178.5,40.40%,57.30%,30.80%,50.00%,Clay
Joao Souza,178.5,37.20%,53.80%,54.20%,33.30%,Clay
Jannik Sinner,178.2,47.20%,51.00%,0.00%,80.00%,Clay
Marc Lopez,178,46.90%,55.80%,35.30%,40.00%,Clay
Alessio Di Mauro,177.8,43.30%,54.00%,26.70%,53.80%,Clay
Mark Koevermans,177.8,40.20%,54.30%,50.00%,33.30%,Clay
Daniel Gimeno-Traver,177.8,38.40%,58.90%,34.80%,45.70%,Clay
Lars Jonsson,177.6,42.90%,53.40%,50.00%,31.30%,Clay
Francisco Roig,177.6,39.40%,52.00%,45.50%,40.70%,Clay
Daniel Vacek,177.5,36.10%,57.60%,43.80%,40.00%,Clay
Marcos Baghdatis,177.2,37.60%,61.60%,46.20%,31.80%,Clay
Chris Woodruff,177.2,40.60%,60.30%,26.30%,50.00%,Clay
Frederic Fontang,176.6,41.40%,52.30%,40.00%,42.90%,Clay
Benjamin Becker,176.1,32.30%,57.10%,41.20%,45.50%,Clay
Marcos Aurelio Gorriz,175.8,41.00%,58.50%,50.00%,26.30%,Clay
Andrei Olhovskiy,175.8,37.70%,58.00%,41.20%,38.90%,Clay
Sam Querrey,175.7,37.40%,60.00%,39.30%,39.00%,Clay
Orlin Stanoytchev,175.5,41.90%,57.60%,37.50%,38.50%,Clay
Marcos Daniel,175.4,39.70%,58.60%,47.10%,30.00%,Clay
Lars Burgsmuller,175,39.40%,55.60%,46.70%,33.30%,Clay
Diego Junqueira,174.7,39.70%,51.70%,50.00%,33.30%,Clay
Pierre-Hugues Herbert,174.7,42.00%,66.10%,33.30%,33.30%,Clay
Thierry Champion,174.5,44.30%,49.40%,44.40%,36.40%,Clay
Gastao Elias,174.5,43.80%,58.30%,25.00%,47.40%,Clay
Greg Rusedski,174.5,31.70%,60.50%,45.50%,36.80%,Clay
Carl-Uwe Steeb,174.1,42.50%,57.20%,22.20%,52.20%,Clay
Julian Reister,173.1,32.50%,60.30%,69.20%,11.10%,Clay
Guillaume Raoux,172.9,38.00%,58.50%,53.30%,23.10%,Clay
Robby Ginepri,172.7,38.50%,57.40%,43.50%,33.30%,Clay
Jan-Lennard Struff,172.7,39.50%,59.30%,33.30%,40.60%,Clay
Paolo Cane,172.6,36.30%,57.10%,41.70%,37.50%,Clay
Thomas Johansson,172.6,40.00%,61.90%,34.00%,36.70%,Clay
Malek Jaziri,172.6,38.80%,64.40%,25.00%,44.40%,Clay
Edouard Roger-Vasselin,172.5,36.50%,61.30%,47.40%,27.30%,Clay
Igor Sijsling,172.5,45.00%,54.70%,45.50%,27.30%,Clay
Scott Draper,172.4,41.50%,59.20%,30.00%,41.70%,Clay
Sergio Roitman,172,39.80%,56.30%,40.90%,35.00%,Clay
Arnaud Clement,171.6,37.50%,57.20%,45.50%,31.40%,Clay
Ivo Minar,171.6,44.30%,52.90%,47.10%,27.30%,Clay
Werner Eschauer,171.4,41.90%,59.80%,36.40%,33.30%,Clay
Mats Wilander,171.3,40.10%,54.80%,40.00%,36.40%,Clay
David Rikl,170.9,44.00%,57.90%,35.70%,33.30%,Clay
Andrej Martin,170.6,38.60%,65.30%,41.70%,25.00%,Clay
Jacobo Diaz,169.8,41.40%,54.60%,50.00%,23.80%,Clay
Jerzy Janowicz,169.8,34.00%,60.80%,50.00%,25.00%,Clay
Tomas Nydahl,169.7,42.90%,52.90%,36.40%,37.50%,Clay
Kenneth Carlsen,168.7,36.00%,57.70%,41.70%,33.30%,Clay
Diego Nargiso,168.7,40.30%,55.40%,44.00%,29.00%,Clay
Maximilian Marterer,168,39.70%,61.60%,16.70%,50.00%,Clay
Alejandro Falla,167.4,42.10%,56.20%,39.10%,30.00%,Clay
Simon Greul,166.5,37.00%,59.80%,36.40%,33.30%,Clay
Henri Leconte,166.5,41.30%,58.50%,38.90%,27.80%,Clay
Christian Miniussi,166.1,40.00%,56.10%,20.00%,50.00%,Clay
Paradorn Srichaphan,166.1,41.10%,52.80%,22.20%,50.00%,Clay
Nicolas Kicker,165.9,46.50%,54.60%,37.50%,27.30%,Clay
Olivier Mutis,165.8,45.70%,56.40%,18.20%,45.50%,Clay
Thierry Guardiola,165,32.60%,54.30%,41.70%,36.40%,Clay
Michael Berrer,165,42.00%,57.30%,30.00%,35.70%,Clay
Donald Young,164.8,40.80%,55.40%,40.00%,28.60%,Clay
Michal Tabara,164.7,43.00%,52.10%,12.50%,57.10%,Clay
Michael Russell,164.5,39.80%,51.60%,50.00%,23.10%,Clay
Mikhail Kukushkin,164.4,41.20%,58.60%,28.60%,36.00%,Clay
Jaime Oncins,164.3,41.60%,53.80%,38.90%,30.00%,Clay
Igor Kunitsyn,162.7,43.10%,54.60%,40.00%,25.00%,Clay
Marius Copil,161.8,30.60%,59.70%,53.30%,18.20%,Clay
Adrian Mannarino,161.4,40.30%,52.60%,23.50%,45.00%,Clay
