Player,Return Rating,% 1st Serve Return Points Won,% 2nd Serve Return Points Won,% Return Games Won,% Break Points Converted,Surface
Marcos Ondruska,160.4,36.50%,49.10%,29.50%,45.30%,Clay
Markus Hipfl,160.3,33.90%,52.30%,30.80%,43.30%,Clay
Jiri Novak,160.2,34.90%,52.20%,30.40%,42.70%,Clay
Bohdan Ulihrach,160.2,33.10%,53.00%,30.80%,43.30%,Clay
Cedrik-Marcel Stebe,160,33.40%,52.30%,29.20%,45.10%,Clay
Marian Vajda,160,35.40%,51.80%,30.70%,42.10%,Clay
Frederic Fontang,159.8,34.60%,52.40%,31.40%,41.40%,Clay
Francisco Roig,159.8,37.30%,51.30%,31.80%,39.40%,Clay
Flavio Saretta,159.8,35.90%,50.20%,29.30%,44.40%,Clay
Fabio Fognini,159.6,34.10%,51.60%,30.30%,43.60%,Clay
Marc Lopez,159.6,34.40%,51.00%,27.30%,46.90%,Clay
Carlos Moya,159.6,35.50%,51.70%,30.10%,42.30%,Clay
Yevgeny Kafelnikov,159.5,33.80%,51.80%,30.00%,43.90%,Clay
Hernan Gumy,159.4,32.90%,53.30%,30.20%,43.00%,Clay
Fernando Meligeni,159.4,33.40%,52.30%,29.80%,43.90%,Clay
Gustavo Kuerten,159.3,34.50%,51.50%,30.60%,42.70%,Clay
Franco Squillari,159.3,34.00%,53.10%,30.40%,41.80%,Clay
Kei Nishikori,159.2,33.40%,53.60%,30.20%,42.00%,Clay
Jason Stoltenberg,159.2,34.00%,50.90%,29.60%,44.70%,Clay
Sjeng Schalken,159,34.70%,51.40%,29.90%,43.00%,Clay
Magnus Norman,158.9,34.20%,52.10%,30.30%,42.30%,Clay
Fabrice Santoro,158.8,34.10%,52.80%,29.80%,42.10%,Clay
Richard Gasquet,158.7,33.70%,50.90%,29.20%,44.90%,Clay
Roberto Bautista Agut,158.5,33.10%,52.20%,29.00%,44.20%,Clay
Jonas Svensson,158.5,35.50%,49.90%,28.80%,44.30%,Clay
Alberto Martin,158.4,34.20%,52.00%,29.60%,42.60%,Clay
Fernando Vicente,158.1,34.30%,52.70%,29.20%,41.90%,Clay
Claudio Pistolesi,158.1,34.60%,51.30%,28.80%,43.40%,Clay
Juan Antonio Marin,157.6,32.80%,51.90%,28.70%,44.20%,Clay
Robin Soderling,157.6,34.10%,50.90%,28.60%,44.00%,Clay
Mauricio Hadad,157.5,33.60%,51.80%,30.50%,41.60%,Clay
Jarkko Nieminen,157.5,33.50%,51.90%,28.40%,43.70%,Clay
Christian Bergstrom,157.4,34.90%,50.40%,28.50%,43.60%,Clay
Gabriel Markus,157.4,32.80%,52.70%,27.80%,44.10%,Clay
Christophe Rochus,157.4,33.40%,52.70%,30.00%,41.30%,Clay
Alexander Zverev,157.4,33.90%,51.00%,29.10%,43.40%,Clay
Oliver Gross,157.2,33.40%,50.20%,29.40%,44.20%,Clay
Hicham Arazi,157.2,33.10%,53.40%,29.60%,41.10%,Clay
Jordi Burillo,157.1,33.90%,50.60%,28.20%,44.40%,Clay
Damir Dzumhur,157.1,35.70%,49.00%,29.30%,43.10%,Clay
Sebastien Grosjean,156.9,35.00%,52.30%,30.20%,39.40%,Clay
Chris Woodruff,156.8,32.50%,53.80%,29.90%,40.60%,Clay
Arnaud Boetsch,156.5,32.60%,54.20%,29.70%,40.00%,Clay
Michal Tabara,156.5,31.60%,53.80%,28.10%,43.00%,Clay
Alexander Volkov,156.5,33.80%,50.30%,28.20%,44.20%,Clay
Cedric Pioline,156.5,33.40%,51.90%,28.90%,42.30%,Clay
Carlos Berlocq,156.4,33.00%,52.10%,28.70%,42.60%,Clay
Juan Martin del Potro,156.3,33.40%,51.20%,29.10%,42.60%,Clay
Gael Monfils,156.3,34.70%,49.50%,28.50%,43.60%,Clay
Daniel Orsanic,156.3,33.50%,47.70%,26.90%,48.20%,Clay
Andrei Cherkasov,156,31.90%,53.50%,28.20%,42.40%,Clay
Vincent Spadea,156,33.60%,51.70%,27.80%,42.90%,Clay
Lars Jonsson,155.9,33.40%,51.10%,28.50%,42.90%,Clay
Andrey Rublev,155.8,32.00%,53.30%,26.80%,43.70%,Clay
Jean-Philippe Fleurian,155.7,32.50%,52.60%,27.40%,43.20%,Clay
Andrei Pavel,155.7,33.00%,51.60%,28.70%,42.40%,Clay
Fernando Gonzalez,155.6,33.70%,52.00%,27.20%,42.70%,Clay
Cristian Garin,155.6,34.10%,51.40%,28.70%,41.40%,Clay
Martin Klizan,155.5,31.80%,51.00%,27.70%,45.00%,Clay
Jeff Tarango,155.5,33.30%,51.60%,28.50%,42.10%,Clay
Dominic Thiem,155.4,33.10%,52.40%,28.70%,41.20%,Clay
Blaz Kavcic,155.3,33.20%,49.40%,25.90%,46.80%,Clay
Thomas Enqvist,155.1,33.10%,53.50%,29.30%,39.20%,Clay
Nicolas Massu,155.1,32.90%,51.10%,27.70%,43.40%,Clay
Christian Miniussi,155.1,33.60%,52.60%,28.90%,40.00%,Clay
Mario Ancic,154.9,34.30%,48.40%,27.30%,44.90%,Clay
Dominik Hrbaty,154.7,32.10%,52.50%,28.20%,41.90%,Clay
Javier Sanchez,154.7,34.80%,50.10%,28.30%,41.50%,Clay
Pablo Andujar,154.6,33.20%,52.60%,28.80%,40.00%,Clay
Karel Novacek,154.6,33.10%,52.40%,28.30%,40.80%,Clay
Johan Van Herck,154.6,30.90%,52.20%,27.10%,44.40%,Clay
Fernando Verdasco,154.6,33.40%,52.30%,28.10%,40.80%,Clay
Diego Perez,154.5,33.20%,55.30%,28.90%,37.10%,Clay
Michel Kratochvil,154.5,34.10%,51.10%,27.60%,41.70%,Clay
Mariano Zabaleta,154.5,33.80%,51.20%,28.30%,41.20%,Clay
Roger Federer,154.4,35.00%,50.90%,28.10%,40.40%,Clay
Markus Naewie,154.4,31.20%,49.70%,26.20%,47.30%,Clay
Michael Stich,154.4,35.20%,49.30%,27.60%,42.30%,Clay
Benoit Paire,154.4,34.10%,50.50%,27.60%,42.20%,Clay
Florian Mayer,154.3,33.70%,50.30%,28.10%,42.20%,Clay
Agustin Calleri,154.2,33.40%,51.90%,27.50%,41.40%,Clay
Martin Jaite,154.2,34.30%,49.20%,27.10%,43.60%,Clay
Paul-Henri Mathieu,154.2,32.30%,51.60%,27.10%,43.20%,Clay
Pablo Carreno Busta,154.1,31.40%,52.30%,27.80%,42.60%,Clay
Albert Portas,154.1,31.30%,52.70%,28.00%,42.10%,Clay
Tomas Berdych,153.9,31.90%,51.30%,26.90%,43.80%,Clay
Kyle Edmund,153.9,30.60%,49.10%,24.90%,49.30%,Clay
Mark Koevermans,153.9,37.10%,47.80%,28.80%,40.20%,Clay
Paul Haarhuis,153.8,32.60%,50.50%,26.50%,44.20%,Clay
Wayne Odesnik,153.8,32.60%,51.10%,26.90%,43.20%,Clay
Nicolas Kicker,153.6,31.40%,50.40%,25.30%,46.50%,Clay
Henri Laaksonen,153.4,32.10%,52.40%,27.30%,41.60%,Clay
Jose Acasuso,153.2,32.40%,52.60%,27.30%,40.90%,Clay
Stefan Koubek,153.2,33.60%,49.80%,27.60%,42.20%,Clay
Santiago Ventura,153.2,32.30%,49.30%,26.20%,45.40%,Clay
Mats Wilander,153.2,33.20%,51.50%,28.40%,40.10%,Clay
Marton Fucsovics,153.1,33.60%,51.70%,29.10%,38.70%,Clay
Tim Henman,153.1,35.40%,48.40%,28.10%,41.20%,Clay
Marcelo Filippini,153.1,33.50%,51.80%,28.10%,39.70%,Clay
Sargis Sargsian,153.1,33.30%,49.70%,27.30%,42.80%,Clay
Jacobo Diaz,152.9,32.60%,50.80%,28.10%,41.40%,Clay
Xavier Malisse,152.9,35.10%,50.30%,27.00%,40.50%,Clay
Andreas Vinciguerra,152.9,33.80%,49.90%,25.70%,43.50%,Clay
Viktor Troicki,152.7,33.40%,50.70%,27.20%,41.40%,Clay
Stefanos Tsitsipas,152.6,32.90%,51.10%,26.50%,42.10%,Clay
Julian Alonso,152.5,31.70%,49.80%,26.90%,44.10%,Clay
Lucas Arnold Ker,152.4,30.40%,50.80%,26.40%,44.80%,Clay
Marin Cilic,152.4,32.80%,50.70%,26.20%,42.70%,Clay
David Rikl,152.4,31.30%,50.30%,26.80%,44.00%,Clay
Florent Serra,152.4,32.50%,51.00%,27.60%,41.30%,Clay
Ruben Ramirez Hidalgo,152.3,31.00%,50.20%,25.60%,45.50%,Clay
Jean-Rene Lisnard,152.3,34.10%,51.40%,26.40%,40.40%,Clay
Tomas Behrend,152.1,31.20%,52.00%,25.40%,43.50%,Clay
Dinu Pescariu,152.1,32.20%,49.90%,26.70%,43.30%,Clay
Marcel Granollers,152,33.90%,48.60%,26.90%,42.60%,Clay
Paul Capdeville,151.9,32.30%,50.70%,27.00%,41.90%,Clay
Roberto Carballes Baena,151.8,31.20%,51.40%,26.00%,43.20%,Clay
Albert Ramos-Vinolas,151.7,32.00%,51.00%,26.70%,42.00%,Clay
MaliVai Washington,151.7,33.60%,47.70%,25.70%,44.70%,Clay
Roberto Carretero,151.6,29.90%,52.30%,25.40%,44.00%,Clay
Jurgen Melzer,151.6,33.10%,49.40%,26.80%,42.30%,Clay
Andrej Martin,151.6,34.60%,50.70%,27.70%,38.60%,Clay
Sergio Roitman,151.6,33.40%,51.60%,26.80%,39.80%,Clay
Filip Dewulf,151.5,31.60%,50.90%,26.50%,42.50%,Clay
Jose Francisco Altur,151.5,33.60%,49.60%,26.40%,41.90%,Clay
Filip Krajinovic,151.4,32.90%,49.20%,27.60%,41.70%,Clay
Carl-Uwe Steeb,151.4,32.40%,50.10%,26.40%,42.50%,Clay
Karim Alami,151.3,34.00%,50.80%,26.70%,39.80%,Clay
Olivier Rochus,151.3,32.10%,52.50%,26.10%,40.60%,Clay
James Blake,151.2,32.90%,49.20%,25.30%,43.80%,Clay
Mikael Tillstrom,151.2,30.80%,52.60%,27.20%,40.60%,Clay
Igor Kunitsyn,151.1,32.90%,49.30%,25.80%,43.10%,Clay
Boris Becker,150.9,34.00%,50.10%,27.80%,39.00%,Clay
Alberto Mancini,150.8,31.70%,52.00%,25.90%,41.20%,Clay
Guillermo Garcia-Lopez,150.7,32.40%,51.30%,26.60%,40.40%,Clay
Oscar Martinez,150.7,33.40%,50.90%,27.70%,38.70%,Clay
Nicolas Lapentti,150.7,32.80%,51.20%,26.80%,39.90%,Clay
Javier Frana,150.6,32.30%,50.90%,25.50%,41.90%,Clay
Marat Safin,150.6,33.00%,50.60%,26.40%,40.60%,Clay
Stan Wawrinka,150.6,32.20%,51.20%,26.50%,40.70%,Clay
Nicolas Kiefer,150.5,32.10%,50.40%,25.80%,42.20%,Clay
Andres Gomez,150.1,33.70%,48.40%,26.40%,41.60%,Clay
Andreas Seppi,150.1,33.00%,49.40%,26.20%,41.50%,Clay
Adrian Voinea,150.1,33.20%,49.20%,26.20%,41.50%,Clay
Jiri Vanek,150.1,30.90%,51.10%,25.70%,42.40%,Clay
Alex Lopez Moron,150,32.80%,49.60%,26.80%,40.80%,Clay
Wayne Ferreira,150,33.70%,49.70%,26.50%,40.10%,Clay
Mariano Puerta,150,30.80%,50.30%,25.50%,43.40%,Clay
Claudio Mezzadri,149.9,32.30%,51.40%,26.00%,40.20%,Clay
Philipp Kohlschreiber,149.7,31.90%,50.90%,25.70%,41.20%,Clay
Ronald Agenor,149.6,31.70%,50.20%,25.90%,41.80%,Clay
Kristof Vliegen,149.6,31.70%,49.40%,26.20%,42.30%,Clay
Fred Gil,149.5,32.80%,49.50%,26.00%,41.20%,Clay
John van Lottum,149.5,34.20%,49.20%,23.90%,42.20%,Clay
Tobias Kamke,149.4,30.50%,51.70%,25.60%,41.60%,Clay
Irakli Labadze,149.4,33.00%,49.60%,25.30%,41.50%,Clay
Bjorn Phau,149.2,31.30%,50.40%,24.50%,43.00%,Clay
Emilio Sanchez,149.2,33.70%,48.90%,26.40%,40.20%,Clay
Flavio Cipolla,149.1,33.00%,50.60%,27.00%,38.50%,Clay
Todd Woodbridge,149.1,31.90%,52.30%,25.80%,39.10%,Clay
German Puentes,149.1,34.00%,47.80%,26.30%,41.00%,Clay
Federico Delbonis,149,31.80%,50.80%,25.50%,40.90%,Clay
Nicklas Kulti,148.9,34.00%,49.90%,26.50%,38.50%,Clay
Mikhail Youzhny,148.9,32.40%,50.60%,26.30%,39.60%,Clay
Bernd Karbacher,148.8,32.60%,50.10%,26.40%,39.70%,Clay
Todd Martin,148.7,33.40%,50.00%,24.60%,40.70%,Clay
Andre Sa,148.7,33.10%,50.10%,26.30%,39.20%,Clay
Arnaud Clement,148.6,33.30%,50.60%,27.20%,37.50%,Clay
David Wheaton,148.4,30.20%,51.10%,24.20%,42.90%,Clay
Igor Andreev,148.2,32.60%,49.60%,25.30%,40.70%,Clay
Thomaz Bellucci,148.1,31.70%,51.00%,24.70%,40.70%,Clay
Stefano Pescosolido,148.1,32.40%,49.80%,25.50%,40.40%,Clay
Nicolas Almagro,148,32.20%,50.50%,25.50%,39.80%,Clay
Marcos Aurelio Gorriz,148,32.90%,49.20%,24.90%,41.00%,Clay
Casper Ruud,148,30.60%,50.30%,26.00%,41.10%,Clay
Tommy Haas,147.9,32.30%,49.10%,26.00%,40.50%,Clay
Radek Stepanek,147.9,32.30%,50.00%,24.80%,40.80%,Clay
Galo Blanco,147.8,30.10%,51.50%,25.00%,41.20%,Clay
Richard Krajicek,147.5,31.90%,50.00%,24.20%,41.40%,Clay
Radu Albot,147.1,30.00%,52.20%,24.20%,40.70%,Clay
Albert Montanes,147.1,31.40%,50.80%,25.60%,39.30%,Clay
Rui Machado,147,31.20%,52.20%,24.80%,38.80%,Clay
Mark Woodforde,147,32.50%,50.00%,26.00%,38.50%,Clay
Rainer Schuettler,146.9,32.90%,49.20%,24.90%,39.90%,Clay
Nuno Marques,146.8,33.40%,47.40%,23.20%,42.80%,Clay
Razvan Sabau,146.8,31.10%,51.80%,23.90%,40.00%,Clay
Pablo Cuevas,146.7,31.10%,50.00%,24.10%,41.50%,Clay
Gastao Elias,146.7,31.80%,47.40%,23.70%,43.80%,Clay
Rodolphe Gilbert,146.7,31.80%,50.20%,25.20%,39.50%,Clay
Maximo Gonzalez,146.6,32.40%,50.20%,25.00%,39.00%,Clay
Taro Daniel,146.5,29.90%,49.80%,24.30%,42.50%,Clay
Jonas Bjorkman,146.3,31.50%,51.70%,24.60%,38.50%,Clay
Younes El Aynaoui,146.1,32.60%,50.50%,24.10%,38.90%,Clay
Nicolas Escude,146.1,33.30%,48.90%,25.20%,38.70%,Clay
Omar Camporese,146.1,31.80%,46.80%,23.00%,44.50%,Clay
Stephane Robert,146,29.70%,51.10%,22.70%,42.50%,Clay
Alejandro Falla,145.8,30.90%,49.10%,23.70%,42.10%,Clay
Jo-Wilfried Tsonga,145.8,32.00%,47.80%,23.80%,42.20%,Clay
Diego Nargiso,145.7,33.60%,47.50%,24.30%,40.30%,Clay
Richard Fromberg,145.7,32.00%,47.90%,24.00%,41.80%,Clay
Juan Albert Viloca-Puig,145.7,30.30%,49.90%,24.30%,41.20%,Clay
Lukas Dlouhy,145.6,32.40%,48.30%,22.50%,42.40%,Clay
Mikhail Kukushkin,145.6,29.00%,51.40%,24.00%,41.20%,Clay
Roberto Azar,145.5,29.60%,50.80%,23.70%,41.40%,Clay
Karen Khachanov,145.5,31.90%,48.60%,24.10%,40.90%,Clay
Ricardo Mello,145.5,27.50%,51.50%,22.80%,43.70%,Clay
Sandor Noszaly,145.5,30.80%,48.60%,23.90%,42.20%,Clay
Alessio Di Mauro,145.4,29.60%,48.40%,24.10%,43.30%,Clay
Jerome Golmard,145.4,31.90%,49.40%,24.00%,40.10%,Clay
Potito Starace,145.4,31.30%,49.60%,24.00%,40.50%,Clay
Karsten Braasch,145.3,33.20%,48.90%,25.70%,37.50%,Clay
Marc Gicquel,145.2,30.20%,48.70%,23.50%,42.80%,Clay
Grigor Dimitrov,145.2,32.30%,48.50%,24.40%,40.00%,Clay
Goran Ivanisevic,145.2,31.40%,49.00%,24.10%,40.70%,Clay
Guido Pella,145.2,30.30%,51.70%,24.00%,39.20%,Clay
Federico Luzzi,145.2,31.40%,49.50%,23.60%,40.70%,Clay
Igor Sijsling,145.2,28.00%,50.40%,21.80%,45.00%,Clay
Lukasz Kubot,145.1,31.10%,49.50%,24.40%,40.10%,Clay
Inigo Cervantes,145.1,29.20%,49.70%,24.30%,41.90%,Clay
Hendrik Dreekmann,145,32.40%,49.50%,25.50%,37.60%,Clay
Henri Leconte,145,32.40%,47.50%,23.80%,41.30%,Clay
Magnus Larsson,145,31.80%,49.60%,24.70%,38.90%,Clay
Davide Sanguinetti,145,33.20%,48.20%,25.20%,38.40%,Clay
Ivan Dodig,144.9,31.50%,47.60%,23.40%,42.40%,Clay
Martin Sinner,144.8,29.30%,47.50%,21.80%,46.20%,Clay
Robin Haase,144.6,31.40%,48.70%,23.90%,40.60%,Clay
Jaume Munar,144.6,32.40%,50.20%,23.40%,38.60%,Clay
Jan Hernych,144.5,34.00%,46.10%,24.20%,40.20%,Clay
Diego Junqueira,144.4,31.20%,49.50%,24.00%,39.70%,Clay
John Millman,144.4,31.30%,50.70%,24.20%,38.20%,Clay
Julien Benneteau,144.3,31.70%,49.20%,23.80%,39.60%,Clay
Marc-Kevin Goellner,144.3,31.00%,48.20%,23.30%,41.80%,Clay
Aljaz Bedene,144.2,31.00%,48.90%,23.20%,41.10%,Clay
Ramon Delgado,144.1,29.50%,51.50%,24.30%,38.80%,Clay
Paolo Cane,143.9,32.80%,50.00%,24.80%,36.30%,Clay
Werner Eschauer,143.5,28.70%,49.80%,23.10%,41.90%,Clay
Emilio Benfele Alvarez,143.5,31.00%,48.30%,23.10%,41.10%,Clay
Byron Black,143.4,29.30%,52.60%,24.60%,36.90%,Clay
Nicolas Devilder,143.4,30.50%,51.10%,24.40%,37.40%,Clay
Jan Hajek,143.4,30.50%,51.40%,23.10%,38.40%,Clay
Pete Sampras,143.4,31.70%,48.10%,24.50%,39.10%,Clay
Orlin Stanoytchev,143.4,27.80%,50.60%,23.10%,41.90%,Clay
Ivan Ljubicic,143.4,31.90%,47.70%,23.00%,40.80%,Clay
Markus Hantschk,143.3,28.10%,51.30%,24.10%,39.80%,Clay
Andy Roddick,143.3,31.40%,50.10%,23.50%,38.30%,Clay
Ernests Gulbis,143.2,30.80%,49.10%,23.00%,40.30%,Clay
Jeremy Chardy,143.2,31.30%,49.10%,23.40%,39.40%,Clay
Olivier Delaitre,143.1,31.70%,48.30%,24.20%,38.90%,Clay
Janko Tipsarevic,143.1,29.60%,49.20%,22.90%,41.40%,Clay
Martin Vassallo Arguello,142.8,31.60%,48.70%,23.70%,38.80%,Clay
Pere Riba,142.7,29.80%,48.30%,22.20%,42.40%,Clay
Oscar Hernandez,142.6,30.00%,50.70%,23.40%,38.50%,Clay
Jakob Hlasek,142.6,32.70%,46.30%,23.50%,40.10%,Clay
Lucas Pouille,142.6,31.00%,49.30%,23.30%,39.00%,Clay
Joao Cunha-Silva,142.4,32.10%,48.30%,23.80%,38.20%,Clay
Santiago Giraldo,142.4,30.80%,48.90%,23.60%,39.10%,Clay
Ivo Minar,142.2,30.50%,46.60%,20.80%,44.30%,Clay
Alex Calatrava,142.1,29.50%,48.60%,22.70%,41.30%,Clay
Oliver Marach,141.8,29.00%,49.40%,21.30%,42.10%,Clay
Dusan Lajovic,141.8,30.60%,48.80%,23.50%,38.90%,Clay
Juan Ignacio Londero,141.8,30.20%,50.40%,23.00%,38.20%,Clay
Denis Gremelmayr,141.7,31.90%,47.90%,24.60%,37.30%,Clay
Renzo Olivo,141.6,31.20%,49.60%,23.10%,37.70%,Clay
Joao Sousa,141.6,31.10%,48.40%,23.20%,38.90%,Clay
Evgeny Korolev,141.5,30.20%,49.20%,21.80%,40.30%,Clay
Lars Burgsmuller,141.4,31.70%,48.60%,21.70%,39.40%,Clay
Andrew Ilie,141.4,30.30%,49.60%,24.00%,37.50%,Clay
Alexandr Dolgopolov,141.3,30.40%,49.20%,21.70%,40.00%,Clay
Tomas Zib,141.3,29.00%,50.50%,22.20%,39.60%,Clay
Jiri Vesely,141.2,28.90%,49.20%,22.20%,40.90%,Clay
Victor Hanescu,141.1,30.60%,49.60%,22.40%,38.50%,Clay
Martin Verkerk,141,34.20%,48.10%,19.80%,38.90%,Clay
Jens Knippschild,140.9,30.60%,48.90%,23.00%,38.40%,Clay
Patrick Rafter,140.6,32.40%,48.10%,23.10%,37.00%,Clay
Mardy Fish,140.5,31.80%,47.90%,21.50%,39.30%,Clay
Andrey Golubev,140.4,31.00%,46.80%,22.30%,40.30%,Clay
Laslo Djere,140.4,31.90%,49.10%,22.90%,36.50%,Clay
Daniel Gimeno-Traver,140.2,30.90%,48.30%,22.60%,38.40%,Clay
Marco Cecchinato,140.1,30.00%,49.70%,22.00%,38.40%,Clay
Luis Horna,140.1,30.40%,49.00%,22.40%,38.30%,Clay
Scott Draper,140,30.10%,48.10%,20.30%,41.50%,Clay
David Prinosil,140,30.50%,49.60%,22.10%,37.80%,Clay
Jan-Lennard Struff,139.9,29.20%,49.80%,21.40%,39.50%,Clay
Eduardo Schwank,139.9,29.30%,50.20%,21.80%,38.60%,Clay
Thomas Johansson,139.8,28.50%,49.20%,22.10%,40.00%,Clay
Malek Jaziri,139.8,29.80%,49.20%,22.00%,38.80%,Clay
Thiago Monteiro,139.8,27.40%,48.20%,21.30%,42.90%,Clay
Adrian Mannarino,139.6,29.70%,47.90%,21.70%,40.30%,Clay
Paolo Lorenzi,139.6,30.60%,47.30%,22.70%,39.00%,Clay
Hyung-Taik Lee,139.5,33.90%,47.00%,23.90%,34.70%,Clay
Donald Young,139.5,28.70%,49.00%,21.00%,40.80%,Clay
Teymuraz Gabashvili,139.4,30.60%,49.00%,22.50%,37.30%,Clay
Marc Rosset,139.4,31.10%,49.50%,21.50%,37.30%,Clay
Michael Russell,139.4,29.70%,48.10%,21.80%,39.80%,Clay
Julien Boutter,139.3,31.80%,47.50%,21.30%,38.70%,Clay
Daniel Evans,139.3,34.40%,47.40%,24.20%,33.30%,Clay
Diego Hartfield,139.3,32.80%,48.40%,23.30%,34.80%,Clay
Victor Estrella Burgos,139.1,26.30%,49.20%,20.60%,43.00%,Clay
Nikoloz Basilashvili,138.9,30.00%,49.50%,22.90%,36.50%,Clay
Dmitry Tursunov,138.9,29.60%,48.80%,21.50%,39.00%,Clay
Attila Savolt,138.9,31.70%,49.50%,22.80%,34.90%,Clay
Andrei Olhovskiy,138.7,32.30%,46.10%,22.60%,37.70%,Clay
Hubert Hurkacz,138.6,28.30%,46.90%,19.00%,44.40%,Clay
Juan Balcells,138.2,28.80%,46.20%,20.80%,42.40%,Clay
Daniel Koellerer,138.2,31.40%,50.50%,23.00%,33.30%,Clay
Marcos Baghdatis,138.1,32.30%,46.50%,21.70%,37.60%,Clay
Robby Ginepri,138.1,31.20%,47.00%,21.40%,38.50%,Clay
Guillaume Raoux,138,30.50%,47.50%,22.00%,38.00%,Clay
Olivier Patience,137.8,28.40%,48.60%,22.30%,38.50%,Clay
Andreas Haider-Maurer,137.7,29.50%,46.90%,21.50%,39.80%,Clay
Edouard Roger-Vasselin,137.7,30.00%,48.90%,22.30%,36.50%,Clay
Marcos Daniel,137.6,28.10%,49.10%,20.70%,39.70%,Clay
Dennis Van Scheppingen,137.6,30.10%,48.00%,21.00%,38.50%,Clay
German Lopez,137.3,28.90%,47.70%,20.00%,40.70%,Clay
Gerard Solves,137.3,30.90%,49.20%,21.60%,35.60%,Clay
Daniil Medvedev,137.2,31.40%,48.80%,22.50%,34.50%,Clay
Rogerio Dutra Silva,137.1,31.00%,47.30%,20.60%,38.20%,Clay
Denis Shapovalov,137.1,29.80%,48.90%,22.00%,36.40%,Clay
Boris Pashanski,137.1,29.80%,47.40%,21.00%,38.90%,Clay
Borna Coric,136.9,30.00%,49.20%,22.30%,35.40%,Clay
Andrey Kuznetsov,136.7,29.80%,49.20%,21.80%,35.90%,Clay
Paradorn Srichaphan,136.7,31.90%,44.40%,19.30%,41.10%,Clay
Lukas Rosol,136.5,29.00%,46.80%,20.10%,40.60%,Clay
Bryan Shelton,136.5,29.10%,49.10%,19.80%,38.50%,Clay
Felix Auger-Aliassime,136.4,31.10%,48.00%,20.10%,37.20%,Clay
Ugo Humbert,136.2,30.40%,48.10%,22.60%,35.10%,Clay
Julian Reister,135.9,30.90%,51.20%,21.30%,32.50%,Clay
Steve Darcis,135.8,29.50%,47.30%,19.70%,39.30%,Clay
Raemon Sluiter,135.4,28.90%,47.70%,18.70%,40.10%,Clay
Pierre-Hugues Herbert,135.3,28.40%,45.90%,19.00%,42.00%,Clay
Luiz Mattar,135.1,30.10%,46.30%,21.00%,37.70%,Clay
Gianluca Pozzi,135.1,32.80%,45.80%,21.30%,35.20%,Clay
Matteo Berrettini,135,29.90%,48.20%,20.50%,36.40%,Clay
Gaston Etlis,135,27.20%,49.80%,19.80%,38.20%,Clay
Jack Sock,135,29.40%,47.40%,20.10%,38.10%,Clay
Jacco Eltingh,134.7,27.60%,48.80%,19.30%,39.00%,Clay
Guy Forget,134.7,32.70%,45.70%,21.00%,35.30%,Clay
Gerald Melzer,134.6,27.30%,50.10%,21.00%,36.20%,Clay
Thiemo de Bakker,134.5,28.00%,46.70%,17.90%,41.90%,Clay
Mischa Zverev,134.5,30.00%,46.30%,19.70%,38.50%,Clay
Mark Philippoussis,134.4,31.70%,46.90%,20.20%,35.60%,Clay
Dudi Sela,134.1,30.10%,48.30%,20.60%,35.10%,Clay
Milos Raonic,133.9,30.60%,46.30%,19.40%,37.60%,Clay
Matthias Bachinger,133.8,30.40%,47.80%,20.90%,34.70%,Clay
Marzio Martelli,133.7,30.20%,47.70%,21.00%,34.80%,Clay
Jan-Michael Gambill,133.6,29.50%,46.90%,19.10%,38.10%,Clay
Miomir Kecmanovic,133.6,30.60%,43.60%,19.40%,40.00%,Clay
Michael Berrer,133.3,29.70%,42.90%,18.70%,42.00%,Clay
Hugo Armando,133.1,27.50%,52.00%,19.40%,34.20%,Clay
Daniel Vacek,133,29.60%,47.10%,20.20%,36.10%,Clay
Philipp Petzschner,132.6,29.50%,46.70%,18.90%,37.50%,Clay
Facundo Bagnis,132.5,29.60%,47.70%,19.80%,35.40%,Clay
Simone Bolelli,132,29.30%,46.80%,19.30%,36.60%,Clay
Leonardo Mayer,132,28.20%,48.30%,18.60%,36.90%,Clay
Sergiy Stakhovsky,131.8,29.30%,45.40%,18.90%,38.20%,Clay
Antony Dupuis,131.7,29.20%,47.80%,18.50%,36.20%,Clay
Michael Llodra,131.7,28.20%,45.80%,17.90%,39.80%,Clay
Nicolas Jarry,131.5,28.30%,46.60%,18.20%,38.40%,Clay
Simon Greul,131.2,27.00%,48.00%,19.20%,37.00%,Clay
Nicolas Mahut,131.2,30.50%,42.40%,17.60%,40.70%,Clay
Dustin Brown,131,27.90%,44.10%,16.80%,42.20%,Clay
Thierry Guardiola,130.8,30.50%,47.00%,20.70%,32.60%,Clay
Denis Istomin,130.7,28.40%,46.30%,18.50%,37.50%,Clay
Jan Siemerink,130.6,29.50%,46.00%,17.80%,37.30%,Clay
Frances Tiafoe,130.6,28.60%,47.20%,18.60%,36.20%,Clay
Alexander Bublik,130.5,30.50%,49.20%,20.10%,30.70%,Clay
Kenneth Carlsen,130.3,29.10%,48.50%,16.70%,36.00%,Clay
Ivan Navarro,130.2,29.40%,44.20%,17.00%,39.60%,Clay
Sam Querrey,130,28.40%,45.40%,18.80%,37.40%,Clay
Joao Souza,130,28.50%,46.50%,17.80%,37.20%,Clay
Taylor Fritz,129.8,29.40%,48.90%,19.60%,31.90%,Clay
Alex de Minaur,129.4,31.70%,46.80%,20.60%,30.30%,Clay
Kevin Anderson,128.9,29.60%,45.80%,18.20%,35.30%,Clay
