Player,Return Rating,% 1st Serve Return Points Won,% 2nd Serve Return Points Won,% Return Games Won,% Break Points Converted,Surface
Wayne Black,146.8,27.50%,53.10%,24.40%,41.80%,All
Todd Witsken,146.8,30.00%,50.80%,24.30%,41.70%,All
Yuki Bhambri,146.6,30.00%,49.80%,24.80%,42.00%,All
Richard Gasquet,146.5,30.30%,50.60%,24.70%,40.90%,All
Albert Portas,146.5,29.20%,51.50%,24.90%,40.90%,All
Alex Lopez Moron,146.4,31.90%,49.30%,25.30%,39.90%,All
Brett Steven,146.3,30.00%,51.50%,24.20%,40.60%,All
Kevin Ullyett,146.2,30.30%,49.20%,23.90%,42.80%,All
Alejandro Hernandez,146.1,31.30%,47.50%,23.60%,43.70%,All
Lars-Anders Wahlgren,145.9,29.00%,51.20%,24.00%,41.70%,All
Steve Bryan,145.8,27.30%,54.90%,25.50%,38.10%,All
Michael Joyce,145.8,27.00%,53.00%,23.70%,42.10%,All
Vincenzo Santopadre,145.8,28.60%,49.10%,23.10%,45.00%,All
Wayne Ferreira,145.7,30.20%,50.80%,24.40%,40.30%,All
Xavier Malisse,145.7,30.50%,49.90%,24.10%,41.20%,All
Claudio Mezzadri,145.7,30.70%,50.80%,24.00%,40.20%,All
Alberto Mancini,145.6,29.80%,50.70%,23.30%,41.80%,All
Carl-Uwe Steeb,145.6,30.10%,49.70%,23.60%,42.20%,All
Agustin Calleri,145.5,30.80%,50.60%,24.10%,40.00%,All
Mark Koevermans,145.5,33.20%,47.60%,24.70%,40.00%,All
Ronald Agenor,145.4,29.70%,50.80%,24.50%,40.40%,All
Mark Woodforde,145.4,29.90%,51.50%,24.50%,39.50%,All
Hicham Arazi,145.3,29.20%,51.50%,24.30%,40.30%,All
Karel Novacek,145.3,30.30%,50.80%,24.40%,39.80%,All
Mikael Tillstrom,145.3,28.60%,52.00%,24.40%,40.30%,All
Fernando Verdasco,145.3,30.50%,50.60%,23.90%,40.30%,All
Julian Alonso,145.2,29.90%,49.40%,24.50%,41.40%,All
Daniel Evans,145.2,29.90%,50.20%,23.60%,41.50%,All
Filip Krajinovic,145.2,29.00%,51.40%,23.90%,40.90%,All
Stefan Koubek,145.2,30.40%,49.80%,23.90%,41.10%,All
Eyal Ran,145.2,28.70%,52.10%,23.70%,40.70%,All
Andre Sa,145.2,29.70%,51.10%,24.30%,40.10%,All
Nicolas Coutelot,145.1,33.20%,47.80%,23.20%,40.90%,All
Gustavo Kuerten,145.1,29.40%,50.60%,24.30%,40.80%,All
Dudi Sela,145.1,30.00%,50.80%,23.90%,40.40%,All
Paul Haarhuis,144.9,29.20%,50.30%,23.40%,42.00%,All
Tobias Kamke,144.9,29.10%,51.90%,24.20%,39.70%,All
Andrei Pavel,144.9,29.30%,50.80%,24.00%,40.80%,All
Filip Dewulf,144.8,28.20%,50.50%,23.10%,43.00%,All
Mariano Zabaleta,144.8,31.80%,49.30%,24.70%,39.00%,All
Luis Herrera,144.7,31.30%,50.30%,25.10%,38.00%,All
Blaz Kavcic,144.7,29.90%,49.80%,23.10%,41.90%,All
Pablo Arraya,144.5,31.50%,47.10%,23.80%,42.10%,All
Francisco Montana,144.5,29.40%,51.00%,23.90%,40.20%,All
Yoshihito Nishioka,144.5,27.90%,53.70%,24.30%,38.60%,All
Ruben Ramirez Hidalgo,144.5,29.20%,49.20%,22.90%,43.20%,All
Benoit Paire,144.4,31.40%,49.20%,23.80%,40.00%,All
Pete Sampras,144.4,28.90%,50.90%,24.00%,40.60%,All
Emilio Sanchez,144.4,31.80%,48.50%,24.00%,40.10%,All
Cristian Garin,144.2,30.10%,49.80%,23.90%,40.40%,All
Christophe Rochus,144.1,28.70%,51.80%,24.30%,39.30%,All
Bernd Karbacher,144,29.90%,50.70%,23.90%,39.50%,All
Eric Jelen,143.9,31.60%,47.30%,23.20%,41.80%,All
Martin Klizan,143.9,28.60%,50.50%,23.10%,41.70%,All
John Millman,143.9,28.40%,50.80%,23.00%,41.70%,All
Michael Stich,143.9,30.50%,49.50%,23.50%,40.40%,All
Boris Becker,143.8,28.90%,51.40%,23.60%,39.90%,All
Paul Capdeville,143.8,29.80%,49.10%,23.50%,41.40%,All
Jean-Philippe Fleurian,143.8,29.90%,49.20%,23.00%,41.70%,All
Nicolas Lapentti,143.8,30.20%,50.30%,24.10%,39.20%,All
